round,phase,dataset,model,split,B,E,client_id,train_loss,global_loss,accuracy,macro_f1,train_time,eval_time,bytes_sent,bytes_recv,samples,peak_memory_mb,status,pi_temp,pi_throttled
1,train,mnist,tinycnn_mnist,iid,8,4,client0,2.312429064157151,,,,14.990036300034262,,,,20008.0,638.8046875,ok,,
1,train,mnist,tinycnn_mnist,iid,8,4,client1,2.1073916333348524,,,,15.301358600030653,,,,19992.0,638.46875,ok,,
1,eval,mnist,tinycnn_mnist,iid,8,4,server,,2.305747884750366,0.094,0.017184643510054845,,0.3854356000665575,,,,,,,
2,train,mnist,tinycnn_mnist,iid,8,4,client0,2.316195181063393,,,,14.398775100009516,,,,20008.0,644.62890625,ok,,
2,train,mnist,tinycnn_mnist,iid,8,4,client1,2.3146059737295186,,,,14.308805099921301,,,,19992.0,641.27734375,ok,,
2,eval,mnist,tinycnn_mnist,iid,8,4,server,,2.306583923339844,0.099,0.018016378525932665,,0.3942882999544963,,,,,,,
3,train,mnist,tinycnn_mnist,iid,8,4,client0,2.3138282006142474,,,,14.221493100048974,,,,20008.0,647.140625,ok,,
3,train,mnist,tinycnn_mnist,iid,8,4,client1,2.314993543570497,,,,14.262994399992749,,,,19992.0,642.61328125,ok,,
3,eval,mnist,tinycnn_mnist,iid,8,4,server,,2.3011545085906984,0.107,0.01933152664859982,,0.37937380000948906,,,,,,,
4,train,mnist,tinycnn_mnist,iid,8,4,client0,2.3149479646198468,,,,14.183397700078785,,,,20008.0,647.8984375,ok,,
4,train,mnist,tinycnn_mnist,iid,8,4,client1,2.315299234446548,,,,14.090235500014387,,,,19992.0,643.2265625,ok,,
4,eval,mnist,tinycnn_mnist,iid,8,4,server,,2.3107620964050293,0.11,0.01981981981981982,,0.36306700005661696,,,,,,,
5,train,mnist,tinycnn_mnist,iid,8,4,client0,2.315418071481811,,,,14.432845099945553,,,,20008.0,648.73828125,ok,,
5,train,mnist,tinycnn_mnist,iid,8,4,client1,2.3151677774161805,,,,14.132059199968353,,,,19992.0,644.26171875,ok,,
5,eval,mnist,tinycnn_mnist,iid,8,4,server,,2.3073971939086912,0.107,0.01933152664859982,,0.3639710999559611,,,,,,,
6,train,mnist,tinycnn_mnist,iid,8,4,client0,2.3158511532301524,,,,14.494921300094575,,,,20008.0,650.296875,ok,,
6,train,mnist,tinycnn_mnist,iid,8,4,client1,2.315084648280203,,,,14.311130000045523,,,,19992.0,646.3046875,ok,,
6,eval,mnist,tinycnn_mnist,iid,8,4,server,,2.3117415771484375,0.099,0.018016378525932665,,0.3733175001107156,,,,,,,
7,train,mnist,tinycnn_mnist,iid,8,4,client0,2.314552928175463,,,,14.429584400029853,,,,20008.0,652.2578125,ok,,
7,train,mnist,tinycnn_mnist,iid,8,4,client1,2.315362997964269,,,,14.302660599933006,,,,19992.0,647.6796875,ok,,
7,eval,mnist,tinycnn_mnist,iid,8,4,server,,2.3119588527679444,0.126,0.022380106571936058,,0.36309200001414865,,,,,,,
8,train,mnist,tinycnn_mnist,iid,8,4,client0,2.314049524004485,,,,14.289643800002523,,,,20008.0,653.94140625,ok,,
8,train,mnist,tinycnn_mnist,iid,8,4,client1,2.316105969432069,,,,14.274166899966076,,,,19992.0,649.23046875,ok,,
