round,phase,dataset,model,split,B,E,client_id,train_loss,global_loss,accuracy,macro_f1,train_time,eval_time,bytes_sent,bytes_recv,samples,peak_memory_mb,status,pi_temp,pi_throttled
1,train,mnist,tinycnn_mnist,iid,32,4,client0,0.2183040560080075,,,,7.371898200013675,,,,20008.0,646.609375,ok,,
1,train,mnist,tinycnn_mnist,iid,32,4,client1,0.23066327926517297,,,,7.3427700999891385,,,,19992.0,645.87109375,ok,,
1,eval,mnist,tinycnn_mnist,iid,32,4,server,,0.40077091550827026,0.906,0.9009940490934643,,0.26561959995888174,,,,,,,
2,train,mnist,tinycnn_mnist,iid,32,4,client0,0.06581563120125095,,,,7.666065400000662,,,,20008.0,651.6171875,ok,,
2,train,mnist,tinycnn_mnist,iid,32,4,client1,0.06973681052357267,,,,7.635975499986671,,,,19992.0,648.890625,ok,,
2,eval,mnist,tinycnn_mnist,iid,32,4,server,,0.08064487601723522,0.971,0.9701314991680616,,0.26369259995408356,,,,,,,
3,train,mnist,tinycnn_mnist,iid,32,4,client0,0.024208303759686165,,,,7.6331106999423355,,,,20008.0,653.08984375,ok,,
3,train,mnist,tinycnn_mnist,iid,32,4,client1,0.02996860394062421,,,,7.646185399964452,,,,19992.0,649.99609375,ok,,
3,eval,mnist,tinycnn_mnist,iid,32,4,server,,0.05900350943789817,0.98,0.9794704763633358,,0.24976830009836704,,,,,,,
4,train,mnist,tinycnn_mnist,iid,32,4,client0,0.020032583963699318,,,,7.613134099985473,,,,20008.0,654.83203125,ok,,
4,train,mnist,tinycnn_mnist,iid,32,4,client1,0.019184136200014683,,,,7.574347999994643,,,,19992.0,651.38671875,ok,,
4,eval,mnist,tinycnn_mnist,iid,32,4,server,,0.06444975715814508,0.98,0.9794236859446992,,0.2880152000579983,,,,,,,
5,train,mnist,tinycnn_mnist,iid,32,4,client0,0.0024096914560130687,,,,7.620322200004011,,,,20008.0,656.33984375,ok,,
5,train,mnist,tinycnn_mnist,iid,32,4,client1,0.007882455221072835,,,,7.578964699991047,,,,19992.0,653.21875,ok,,
5,eval,mnist,tinycnn_mnist,iid,32,4,server,,0.06522398661471016,0.984,0.9834104784000832,,0.25993459997698665,,,,,,,
6,train,mnist,tinycnn_mnist,iid,32,4,client0,0.0007512301546177057,,,,7.703384000109509,,,,20008.0,657.67578125,ok,,
6,train,mnist,tinycnn_mnist,iid,32,4,client1,0.002517858500256147,,,,7.6904981000116095,,,,19992.0,654.3984375,ok,,
6,eval,mnist,tinycnn_mnist,iid,32,4,server,,0.07092606793794948,0.984,0.9834151909831098,,0.26782860001549125,,,,,,,
7,train,mnist,tinycnn_mnist,iid,32,4,client0,0.001732098111865875,,,,7.55537119996734,,,,20008.0,659.05078125,ok,,
7,train,mnist,tinycnn_mnist,iid,32,4,client1,0.00031665586150272956,,,,7.528741899994202,,,,19992.0,656.03125,ok,,
7,eval,mnist,tinycnn_mnist,iid,32,4,server,,0.10808013981352997,0.974,0.9731472243169954,,0.2654694999800995,,,,,,,
8,train,mnist,tinycnn_mnist,iid,32,4,client0,0.007037335528719664,,,,7.745928100077435,,,,20008.0,660.26171875,ok,,
8,train,mnist,tinycnn_mnist,iid,32,4,client1,0.00021007609166825075,,,,7.610844200011343,,,,19992.0,657.27734375,ok,,
8,eval,mnist,tinycnn_mnist,iid,32,4,server,,0.06456457423886787,0.982,0.9814379955111867,,0.26246599992737174,,,,,,,
9,train,mnist,tinycnn_mnist,iid,32,4,client0,0.00013614017831340824,,,,7.589304800028913,,,,20008.0,663.28515625,ok,,
9,train,mnist,tinycnn_mnist,iid,32,4,client1,0.01953677132351201,,,,7.5757985999807715,,,,19992.0,658.7734375,ok,,
9,eval,mnist,tinycnn_mnist,iid,32,4,server,,0.07618043939497511,0.98,0.9794369219959526,,0.2768472000025213,,,,,,,
10,train,mnist,tinycnn_mnist,iid,32,4,client0,0.0007135380436510628,,,,7.7720260000787675,,,,20008.0,664.203125,ok,,
10,train,mnist,tinycnn_mnist,iid,32,4,client1,0.00020547955725897004,,,,7.568200599984266,,,,19992.0,660.15625,ok,,
10,eval,mnist,tinycnn_mnist,iid,32,4,server,,0.07799194142781744,0.982,0.9814071368788555,,0.24903529998846352,,,,,,,
11,train,mnist,tinycnn_mnist,iid,32,4,client0,0.00013216863764136663,,,,7.511776200029999,,,,20008.0,666.15625,ok,,
11,train,mnist,tinycnn_mnist,iid,32,4,client1,0.00010727587752717522,,,,7.605596699984744,,,,19992.0,661.6171875,ok,,
11,eval,mnist,tinycnn_mnist,iid,32,4,server,,0.08362054046945468,0.982,0.9814071368788555,,0.26309330004733056,,,,,,,
12,train,mnist,tinycnn_mnist,iid,32,4,client0,8.486069403942281e-05,,,,7.670363000012003,,,,20008.0,667.1484375,ok,,
12,train,mnist,tinycnn_mnist,iid,32,4,client1,6.981001011529937e-05,,,,7.569862400065176,,,,19992.0,663.03515625,ok,,
12,eval,mnist,tinycnn_mnist,iid,32,4,server,,0.0837683989367265,0.981,0.9803147550932888,,0.2608047000830993,,,,,,,
13,train,mnist,tinycnn_mnist,iid,32,4,client0,6.60211632784535e-05,,,,7.681806800072081,,,,20008.0,668.609375,ok,,
13,train,mnist,tinycnn_mnist,iid,32,4,client1,5.204435470082393e-05,,,,7.660117199993692,,,,19992.0,664.65234375,ok,,
13,eval,mnist,tinycnn_mnist,iid,32,4,server,,0.08650550835734135,0.981,0.9803147550932888,,0.25130879995413125,,,,,,,
14,train,mnist,tinycnn_mnist,iid,32,4,client0,5.161491576203433e-05,,,,7.656593999941833,,,,20008.0,670.48046875,ok,,
14,train,mnist,tinycnn_mnist,iid,32,4,client1,4.3406318979947725e-05,,,,7.5231511000311,,,,19992.0,666.24609375,ok,,
14,eval,mnist,tinycnn_mnist,iid,32,4,server,,0.08602666029005628,0.981,0.9803147550932888,,0.23992069996893406,,,,,,,
15,train,mnist,tinycnn_mnist,iid,32,4,client0,4.380603922129488e-05,,,,7.63925410003867,,,,20008.0,672.30078125,ok,,
15,train,mnist,tinycnn_mnist,iid,32,4,client1,4.116055613740624e-05,,,,7.411770800012164,,,,19992.0,667.578125,ok,,
15,eval,mnist,tinycnn_mnist,iid,32,4,server,,0.08717575865874323,0.981,0.9803147550932888,,0.23707130004186183,,,,,,,
16,train,mnist,tinycnn_mnist,iid,32,4,client0,3.801018511549131e-05,,,,7.5974511000094935,,,,20008.0,673.4375,ok,,
16,train,mnist,tinycnn_mnist,iid,32,4,client1,3.309017783933105e-05,,,,7.400143799954094,,,,19992.0,668.8984375,ok,,
16,eval,mnist,tinycnn_mnist,iid,32,4,server,,0.0875782596279015,0.981,0.9803147550932888,,0.24056050006765872,,,,,,,
17,train,mnist,tinycnn_mnist,iid,32,4,client0,3.643110199133367e-05,,,,7.593700299970806,,,,20008.0,674.90625,ok,,
17,train,mnist,tinycnn_mnist,iid,32,4,client1,2.9611954683623308e-05,,,,7.509144900017418,,,,19992.0,670.48046875,ok,,
17,eval,mnist,tinycnn_mnist,iid,32,4,server,,0.08723088042232416,0.981,0.9803147550932888,,0.2784431000472978,,,,,,,
18,train,mnist,tinycnn_mnist,iid,32,4,client0,2.9060050489036213e-05,,,,7.543974000029266,,,,20008.0,671.6796875,ok,,
18,train,mnist,tinycnn_mnist,iid,32,4,client1,2.5835185821863894e-05,,,,7.463005300029181,,,,19992.0,639.36328125,ok,,
18,eval,mnist,tinycnn_mnist,iid,32,4,server,,0.08774984538055787,0.98,0.979280158368443,,0.23261419998016208,,,,,,,
19,train,mnist,tinycnn_mnist,iid,32,4,client0,2.731245638686395e-05,,,,7.597385299974121,,,,20008.0,644.328125,ok,,
19,train,mnist,tinycnn_mnist,iid,32,4,client1,2.2914611552480322e-05,,,,7.672359099960886,,,,19992.0,640.72265625,ok,,
19,eval,mnist,tinycnn_mnist,iid,32,4,server,,0.08901201538357213,0.981,0.9803147550932888,,0.2471831999719143,,,,,,,
20,train,mnist,tinycnn_mnist,iid,32,4,client0,2.6149107958571854e-05,,,,7.695812299964018,,,,20008.0,645.578125,ok,,
20,train,mnist,tinycnn_mnist,iid,32,4,client1,2.1166125767694433e-05,,,,7.6228837999515235,,,,19992.0,641.99609375,ok,,
20,eval,mnist,tinycnn_mnist,iid,32,4,server,,0.0906843513892835,0.979,0.9782844942951605,,0.2611527999397367,,,,,,,
