round,phase,dataset,model,split,B,E,client_id,train_loss,global_loss,accuracy,macro_f1,train_time,eval_time,bytes_sent,bytes_recv,samples,peak_memory_mb,status,pi_temp,pi_throttled
1,train,cifar10,mobilenetv3_cifar,iid,32,3,pi127,1.8436813631780422,,,,442.413689509,,6234996,6234810,14991,694.6953125,ok,temp=84.2'C,throttled=0xf0008
1,train,cifar10,mobilenetv3_cifar,iid,32,3,pi99,1.8556427431023965,,,,385.69200121999995,,6234996,6234809,15009,704.7578125,ok,temp=50.1'C,throttled=0x0
1,eval,cifar10,mobilenetv3_cifar,iid,32,3,server,,2.418278558731079,0.0975,0.01776765375854214,,1.7516090999997687,12469992,12469619,,,,,
2,train,cifar10,mobilenetv3_cifar,iid,32,3,pi127,1.6548094175471195,,,,424.89684651200014,,12469992,12469532,14991,703.58203125,ok,temp=83.7'C,throttled=0xf0008
2,train,cifar10,mobilenetv3_cifar,iid,32,3,pi99,1.6721488331658698,,,,383.36030842699995,,12469992,12469526,15009,713.48828125,ok,temp=50.6'C,throttled=0x0
2,eval,cifar10,mobilenetv3_cifar,iid,32,3,server,,1.71758687210083,0.3515,0.3322962211277937,,1.0243301000155043,24939984,24939058,,,,,
3,train,cifar10,mobilenetv3_cifar,iid,32,3,pi127,1.43393563033025,,,,459.2691113200001,,18704988,18704251,14991,704.24609375,ok,temp=84.2'C,throttled=0xf0008
3,train,cifar10,mobilenetv3_cifar,iid,32,3,pi99,1.4435599543394004,,,,383.98079578600004,,18704988,18704242,15009,714.7734375,ok,temp=51.6'C,throttled=0x0
3,eval,cifar10,mobilenetv3_cifar,iid,32,3,server,,1.333812074661255,0.51,0.50469496471311,,0.9051853999844752,37409976,37408493,,,,,
