round,phase,dataset,model,split,B,E,client_id,train_loss,global_loss,accuracy,macro_f1,train_time,eval_time,bytes_sent,bytes_recv,samples,peak_memory_mb,status,pi_temp,pi_throttled
1,train,mnist,tinycnn_mnist,iid,16,8,client0,0.20254140746099894,,,,21.384315899922512,,,,40016.0,629.93359375,ok,,
1,train,mnist,tinycnn_mnist,iid,16,8,client1,0.2579762961576234,,,,20.487820100039244,,,,39984.0,630.8828125,ok,,
1,eval,mnist,tinycnn_mnist,iid,16,8,server,,0.5544694979190826,0.873,0.8801923650354591,,0.3060944000026211,,,,,,,
2,train,mnist,tinycnn_mnist,iid,16,8,client0,0.07388566949940784,,,,19.30798160005361,,,,40016.0,641.97265625,ok,,
2,train,mnist,tinycnn_mnist,iid,16,8,client1,0.09395984750351638,,,,19.17767979996279,,,,39984.0,638.94921875,ok,,
2,eval,mnist,tinycnn_mnist,iid,16,8,server,,0.09261788345482637,0.97,0.9688016129438978,,0.32329380000010133,,,,,,,
3,train,mnist,tinycnn_mnist,iid,16,8,client0,0.040565747895078275,,,,20.10238119994756,,,,40016.0,644.17578125,ok,,
3,train,mnist,tinycnn_mnist,iid,16,8,client1,0.05297719957424364,,,,19.48952060006559,,,,39984.0,640.94140625,ok,,
3,eval,mnist,tinycnn_mnist,iid,16,8,server,,0.10743999043273737,0.973,0.9720719304155819,,0.2815170999383554,,,,,,,
4,train,mnist,tinycnn_mnist,iid,16,8,client0,0.020008595284107353,,,,19.805833299993537,,,,40016.0,646.3828125,ok,,
4,train,mnist,tinycnn_mnist,iid,16,8,client1,0.03910954833974884,,,,20.021382099948823,,,,39984.0,642.94140625,ok,,
4,eval,mnist,tinycnn_mnist,iid,16,8,server,,0.1266725146821591,0.975,0.9745116466441281,,0.30119759996887296,,,,,,,
5,train,mnist,tinycnn_mnist,iid,16,8,client0,0.019742655228842564,,,,20.34944879997056,,,,40016.0,647.94140625,ok,,
5,train,mnist,tinycnn_mnist,iid,16,8,client1,0.019051523792422444,,,,20.160107400035486,,,,39984.0,644.64453125,ok,,
5,eval,mnist,tinycnn_mnist,iid,16,8,server,,0.14100048097138262,0.982,0.981519245711957,,0.29557820002082735,,,,,,,
6,train,mnist,tinycnn_mnist,iid,16,8,client0,0.02213820394258737,,,,19.910177599987946,,,,40016.0,650.30078125,ok,,
6,train,mnist,tinycnn_mnist,iid,16,8,client1,0.04743020558016276,,,,19.239767299965024,,,,39984.0,647.0,ok,,
6,eval,mnist,tinycnn_mnist,iid,16,8,server,,0.13956621304146996,0.977,0.9763855902209186,,0.28272789996117353,,,,,,,
7,train,mnist,tinycnn_mnist,iid,16,8,client0,0.002020531830584295,,,,20.185634699999355,,,,40016.0,652.5546875,ok,,
7,train,mnist,tinycnn_mnist,iid,16,8,client1,0.013989639592452955,,,,19.890254999976605,,,,39984.0,648.43359375,ok,,
7,eval,mnist,tinycnn_mnist,iid,16,8,server,,0.17260332916169133,0.978,0.9775467620657174,,0.31133590009994805,,,,,,,
8,train,mnist,tinycnn_mnist,iid,16,8,client0,0.04470659244691871,,,,19.28819780005142,,,,40016.0,653.4453125,ok,,
8,train,mnist,tinycnn_mnist,iid,16,8,client1,0.0005127892611527842,,,,20.314027299988084,,,,39984.0,651.46484375,ok,,
8,eval,mnist,tinycnn_mnist,iid,16,8,server,,0.13484891295459372,0.98,0.9795491185267226,,0.3291871000546962,,,,,,,
9,train,mnist,tinycnn_mnist,iid,16,8,client0,0.00014156870663318766,,,,19.942574999993667,,,,40016.0,654.26171875,ok,,
9,train,mnist,tinycnn_mnist,iid,16,8,client1,0.028569304959966034,,,,20.231717399903573,,,,39984.0,643.37890625,ok,,
9,eval,mnist,tinycnn_mnist,iid,16,8,server,,0.16771240862467066,0.982,0.9816080411974951,,0.3376036999979988,,,,,,,
10,train,mnist,tinycnn_mnist,iid,16,8,client0,0.05255998343352224,,,,21.590189200011082,,,,40016.0,648.19921875,ok,,
10,train,mnist,tinycnn_mnist,iid,16,8,client1,0.0017311795443741022,,,,20.728872900013812,,,,39984.0,644.5859375,ok,,
10,eval,mnist,tinycnn_mnist,iid,16,8,server,,0.20589972149342722,0.978,0.9774567018021146,,0.29355579998809844,,,,,,,
11,train,mnist,tinycnn_mnist,iid,16,8,client0,0.004311552533360591,,,,20.99847739993129,,,,40016.0,650.3671875,ok,,
11,train,mnist,tinycnn_mnist,iid,16,8,client1,0.05701161501315775,,,,20.15227630001027,,,,39984.0,647.10546875,ok,,
11,eval,mnist,tinycnn_mnist,iid,16,8,server,,0.2250558652675925,0.975,0.9745994792704952,,0.2938084000488743,,,,,,,
12,train,mnist,tinycnn_mnist,iid,16,8,client0,0.0007816255327482438,,,,20.90767349989619,,,,40016.0,650.671875,ok,,
12,train,mnist,tinycnn_mnist,iid,16,8,client1,0.0009655336954615188,,,,21.175670599914156,,,,39984.0,646.4375,ok,,
12,eval,mnist,tinycnn_mnist,iid,16,8,server,,0.18353672960958262,0.979,0.9788363346336997,,0.29550280002877116,,,,,,,
13,train,mnist,tinycnn_mnist,iid,16,8,client0,3.187709882682731e-05,,,,19.97522169991862,,,,40016.0,651.0390625,ok,,
