round,phase,dataset,model,split,B,E,client_id,train_loss,global_loss,accuracy,macro_f1,train_time,eval_time,bytes_sent,bytes_recv,samples,peak_memory_mb,status,pi_temp,pi_throttled
1,train,cifar10,dscnn_cifar,iid,16,1,pi127,1.885847403928235,,,,76.68245614699993,,107123,106564,4997,642.00390625,ok,temp=83.2'C,throttled=0x80008
1,train,cifar10,dscnn_cifar,iid,16,1,pi99,1.913247805082057,,,,81.91763691599999,,107123,106558,5003,646.55859375,ok,temp=55.0'C,throttled=0x0
1,eval,cifar10,dscnn_cifar,iid,16,1,server,,2.919272903442383,0.1595,0.05164021164021164,,1.0224009999999453,214246,213122,,,,,
2,train,cifar10,dscnn_cifar,iid,16,1,pi127,1.6400713596865013,,,,80.98858680300009,,214246,213034,4997,642.8203125,ok,temp=84.2'C,throttled=0xe0008
2,train,cifar10,dscnn_cifar,iid,16,1,pi99,1.6602851936585088,,,,82.05066813899998,,214246,213024,5003,648.12890625,ok,temp=56.4'C,throttled=0x0
2,eval,cifar10,dscnn_cifar,iid,16,1,server,,1.599910150051117,0.4335,0.4060656560609778,,0.9396729999999707,428492,426058,,,,,
3,train,cifar10,dscnn_cifar,iid,16,1,pi127,1.4472874407771112,,,,88.92716041000006,,321369,319505,4997,643.57421875,ok,temp=84.2'C,throttled=0xe0008
3,train,cifar10,dscnn_cifar,iid,16,1,pi99,1.4694156046035693,,,,120.35777899499999,,321369,319487,5003,646.6875,ok,temp=56.0'C,throttled=0x0
3,eval,cifar10,dscnn_cifar,iid,16,1,server,,1.2998714942932128,0.522,0.5180912953945326,,0.8970937999999933,642738,638992,,,,,
