round,phase,dataset,model,split,B,E,client_id,train_loss,global_loss,accuracy,macro_f1,train_time,eval_time,bytes_sent,bytes_recv,samples,peak_memory_mb,status,pi_temp,pi_throttled
1,train,mnist,tinycnn_mnist,iid,8,1,client0,2.3089176557007813,,,,3.2202354999026284,,,,5002.0,615.03515625,ok,,
1,train,mnist,tinycnn_mnist,iid,8,1,client1,1.6592456989643238,,,,3.006548500037752,,,,4998.0,616.52734375,ok,,
1,eval,mnist,tinycnn_mnist,iid,8,1,server,,2.0104567041397097,0.327,0.26017206889332284,,0.34383610007353127,,,,,,,
2,train,mnist,tinycnn_mnist,iid,8,1,client0,1.0082156879175064,,,,3.1458418000256643,,,,5002.0,627.01953125,ok,,
2,train,mnist,tinycnn_mnist,iid,8,1,client1,1.6513140423863637,,,,3.223285600077361,,,,4998.0,623.4453125,ok,,
2,eval,mnist,tinycnn_mnist,iid,8,1,server,,2.5731413621902464,0.126,0.022380106571936058,,0.318654999951832,,,,,,,
3,train,mnist,tinycnn_mnist,iid,8,1,client0,2.327234768285984,,,,3.226987300091423,,,,5002.0,629.62109375,ok,,
3,train,mnist,tinycnn_mnist,iid,8,1,client1,2.32592896253121,,,,2.9880212999414653,,,,4998.0,624.828125,ok,,
3,eval,mnist,tinycnn_mnist,iid,8,1,server,,2.313914884567261,0.099,0.018016378525932665,,0.3655489000957459,,,,,,,
4,train,mnist,tinycnn_mnist,iid,8,1,client0,2.315874196586014,,,,3.086070999968797,,,,5002.0,631.1484375,ok,,
4,train,mnist,tinycnn_mnist,iid,8,1,client1,2.3155088114614437,,,,3.2225047000683844,,,,4998.0,626.546875,ok,,
4,eval,mnist,tinycnn_mnist,iid,8,1,server,,2.3022612171173096,0.126,0.022380106571936058,,0.3361952999839559,,,,,,,
5,train,mnist,tinycnn_mnist,iid,8,1,client0,2.312374812228734,,,,3.1142909000627697,,,,5002.0,634.88671875,ok,,
5,train,mnist,tinycnn_mnist,iid,8,1,client1,2.314717313297847,,,,3.189172900049016,,,,4998.0,629.05859375,ok,,
5,eval,mnist,tinycnn_mnist,iid,8,1,server,,2.321435642242432,0.085,0.015668202764976956,,0.3446092999074608,,,,,,,
6,train,mnist,tinycnn_mnist,iid,8,1,client0,2.316281061561429,,,,3.2096000000601634,,,,5002.0,636.9921875,ok,,
6,train,mnist,tinycnn_mnist,iid,8,1,client1,2.314132547225891,,,,3.1468225999269634,,,,4998.0,630.6953125,ok,,
