round,phase,dataset,model,split,B,E,client_id,train_loss,global_loss,accuracy,macro_f1,train_time,eval_time,bytes_sent,bytes_recv,samples,peak_memory_mb,num_params,comm_bytes_per_round,status,pi_temp,pi_throttled
13,eval,mnist,tinycnn_mnist,dirichlet,64,4,server,,0.07287015825137497,0.974,0.9737311977796693,,0.37157669999987775,,,,,,,,,
14,train,mnist,tinycnn_mnist,dirichlet,64,4,client0,0.010114421642263453,,,,3.67459480000025,,,,14416.0,,,,ok,,
14,train,mnist,tinycnn_mnist,dirichlet,64,4,client1,0.004303209769747466,,,,5.9459452999999485,,,,25584.0,,,,ok,,
14,eval,mnist,tinycnn_mnist,dirichlet,64,4,server,,0.07391580561362207,0.9715,0.9712140497001709,,0.3638679000000593,,,,,,,,,
15,train,mnist,tinycnn_mnist,dirichlet,64,4,client0,0.008726103076779517,,,,3.3171947000000728,,,,14416.0,,,,ok,,
15,train,mnist,tinycnn_mnist,dirichlet,64,4,client1,0.003782187237974642,,,,5.621012999999948,,,,25584.0,,,,ok,,
15,eval,mnist,tinycnn_mnist,dirichlet,64,4,server,,0.07713679123856128,0.973,0.9726810756128701,,0.3546531000001778,,,,,,,,,
16,train,mnist,tinycnn_mnist,dirichlet,64,4,client0,0.007992497230952317,,,,3.135315399999854,,,,14416.0,,,,ok,,
16,train,mnist,tinycnn_mnist,dirichlet,64,4,client1,0.0034772326916851118,,,,5.681910999999673,,,,25584.0,,,,ok,,
16,eval,mnist,tinycnn_mnist,dirichlet,64,4,server,,0.07529393306653946,0.9725,0.9722567476429538,,0.37742359999992914,,,,,,,,,
17,train,mnist,tinycnn_mnist,dirichlet,64,4,client0,0.006998881682537529,,,,3.3801126999996995,,,,14416.0,,,,ok,,
17,train,mnist,tinycnn_mnist,dirichlet,64,4,client1,0.0030457751923447488,,,,5.879272299999684,,,,25584.0,,,,ok,,
17,eval,mnist,tinycnn_mnist,dirichlet,64,4,server,,0.07653943593986333,0.972,0.9716908924816898,,0.3853715000000193,,,,,,,,,
18,train,mnist,tinycnn_mnist,dirichlet,64,4,client0,0.006256648700262255,,,,3.1420012999997198,,,,14416.0,,,,ok,,
18,train,mnist,tinycnn_mnist,dirichlet,64,4,client1,0.002799627039195816,,,,5.63044439999976,,,,25584.0,,,,ok,,
18,eval,mnist,tinycnn_mnist,dirichlet,64,4,server,,0.07797198064997793,0.9735,0.9732249477858719,,0.35094649999973626,,,,,,,,,
19,train,mnist,tinycnn_mnist,dirichlet,64,4,client0,0.005738927211802914,,,,3.4377337999999327,,,,14416.0,,,,ok,,
19,train,mnist,tinycnn_mnist,dirichlet,64,4,client1,0.0025313251283684635,,,,5.6104144999999335,,,,25584.0,,,,ok,,
19,eval,mnist,tinycnn_mnist,dirichlet,64,4,server,,0.0775748045295477,0.971,0.9707082939746773,,0.38135860000011235,,,,,,,,,
20,train,mnist,tinycnn_mnist,dirichlet,64,4,client0,0.0053242120662176685,,,,3.383102400000098,,,,14416.0,,,,ok,,
20,train,mnist,tinycnn_mnist,dirichlet,64,4,client1,0.0023326276396147864,,,,5.890152299999954,,,,25584.0,,,,ok,,
20,eval,mnist,tinycnn_mnist,dirichlet,64,4,server,,0.07836623232159763,0.972,0.9716826538398277,,0.3703710999998293,,,,,,,,,
