round,phase,dataset,model,split,B,E,client_id,train_loss,global_loss,accuracy,macro_f1,train_time,eval_time,bytes_sent,bytes_recv,samples,peak_memory_mb,num_params,comm_bytes_per_round,status,pi_temp,pi_throttled
1,train,mnist,tinycnn_mnist,dirichlet,64,8,client0,0.3250178681473588,,,,6.0772633999999925,,,,28832.0,,,,ok,,
1,train,mnist,tinycnn_mnist,dirichlet,64,8,client1,0.208640788436452,,,,11.658014200000252,,,,51168.0,,,,ok,,
1,eval,mnist,tinycnn_mnist,dirichlet,64,8,server,,0.12847817504405976,0.9595,0.958625162053791,,0.42384199999969496,,,,,,,,,
2,train,mnist,tinycnn_mnist,dirichlet,64,8,client0,0.06542434891221732,,,,6.329641199999969,,,,28832.0,,,,ok,,
2,train,mnist,tinycnn_mnist,dirichlet,64,8,client1,0.04583803125259043,,,,11.236828799999785,,,,51168.0,,,,ok,,
2,eval,mnist,tinycnn_mnist,dirichlet,64,8,server,,0.08243896032869816,0.974,0.9738177019113579,,0.3616612000000714,,,,,,,,,
3,train,mnist,tinycnn_mnist,dirichlet,64,8,client0,0.03803521804715694,,,,6.538843700000143,,,,28832.0,,,,ok,,
3,train,mnist,tinycnn_mnist,dirichlet,64,8,client1,0.022967985220657683,,,,11.290316800000255,,,,51168.0,,,,ok,,
3,eval,mnist,tinycnn_mnist,dirichlet,64,8,server,,0.07421433642506599,0.9755,0.9753249164966672,,0.3711393999997199,,,,,,,,,
4,train,mnist,tinycnn_mnist,dirichlet,64,8,client0,0.025821277305866787,,,,5.990321499999936,,,,28832.0,,,,ok,,
4,train,mnist,tinycnn_mnist,dirichlet,64,8,client1,0.013404547139665017,,,,11.020548299999973,,,,51168.0,,,,ok,,
4,eval,mnist,tinycnn_mnist,dirichlet,64,8,server,,0.07043324758484959,0.9745,0.9742944309178933,,0.37037980000013704,,,,,,,,,
5,train,mnist,tinycnn_mnist,dirichlet,64,8,client0,0.018113763148216253,,,,6.43088570000009,,,,28832.0,,,,ok,,
5,train,mnist,tinycnn_mnist,dirichlet,64,8,client1,0.0086978283966542,,,,11.225446200000079,,,,51168.0,,,,ok,,
5,eval,mnist,tinycnn_mnist,dirichlet,64,8,server,,0.07615386051312088,0.9735,0.9731982184296545,,0.3677151000001686,,,,,,,,,
6,train,mnist,tinycnn_mnist,dirichlet,64,8,client0,0.013827823452947642,,,,7.494777599999907,,,,28832.0,,,,ok,,
6,train,mnist,tinycnn_mnist,dirichlet,64,8,client1,0.006010627594688794,,,,13.353191900000184,,,,51168.0,,,,ok,,
6,eval,mnist,tinycnn_mnist,dirichlet,64,8,server,,0.0725256338622421,0.974,0.9736969074581401,,0.3820762000000286,,,,,,,,,
7,train,mnist,tinycnn_mnist,dirichlet,64,8,client0,0.010384927627706247,,,,7.21090009999989,,,,28832.0,,,,ok,,
7,train,mnist,tinycnn_mnist,dirichlet,64,8,client1,0.004509982428831771,,,,11.989947199999733,,,,51168.0,,,,ok,,
7,eval,mnist,tinycnn_mnist,dirichlet,64,8,server,,0.07435068623349071,0.973,0.9727540083214559,,0.4400026999996953,,,,,,,,,
