round,phase,dataset,model,split,B,E,client_id,train_loss,global_loss,accuracy,macro_f1,train_time,eval_time,bytes_sent,bytes_recv,samples,peak_memory_mb,num_params,comm_bytes_per_round,status,pi_temp,pi_throttled
1,train,mnist,tinycnn_mnist,dirichlet,64,2,client0,0.8207208461786613,,,,1.7540005999999266,,,,7208.0,,,,ok,,
1,train,mnist,tinycnn_mnist,dirichlet,64,2,client1,0.5484457957774419,,,,3.1186735999999655,,,,12792.0,,,,ok,,
1,eval,mnist,tinycnn_mnist,dirichlet,64,2,server,,0.3635984200239182,0.9075,0.9030011249240977,,0.45906339999964985,,,,,,,,,
2,train,mnist,tinycnn_mnist,dirichlet,64,2,client0,0.2160890293488492,,,,1.7214688999997634,,,,7208.0,,,,ok,,
2,train,mnist,tinycnn_mnist,dirichlet,64,2,client1,0.15962459507157759,,,,3.0339865999999347,,,,12792.0,,,,ok,,
2,eval,mnist,tinycnn_mnist,dirichlet,64,2,server,,0.14677070569992065,0.9605,0.9601177757397734,,0.4129493000000366,,,,,,,,,
3,train,mnist,tinycnn_mnist,dirichlet,64,2,client0,0.13647118012124174,,,,1.8645172000001367,,,,7208.0,,,,ok,,
3,train,mnist,tinycnn_mnist,dirichlet,64,2,client1,0.09890557912931433,,,,3.307182600000033,,,,12792.0,,,,ok,,
3,eval,mnist,tinycnn_mnist,dirichlet,64,2,server,,0.11256357805430889,0.968,0.9676240318969421,,0.3930161999996926,,,,,,,,,
4,train,mnist,tinycnn_mnist,dirichlet,64,2,client0,0.1054584303153441,,,,1.7462077000000136,,,,7208.0,,,,ok,,
4,train,mnist,tinycnn_mnist,dirichlet,64,2,client1,0.07336283569981934,,,,3.309281700000156,,,,12792.0,,,,ok,,
4,eval,mnist,tinycnn_mnist,dirichlet,64,2,server,,0.10357185017317533,0.97,0.9696319422317833,,0.4825754000003144,,,,,,,,,
5,train,mnist,tinycnn_mnist,dirichlet,64,2,client0,0.0878769824349556,,,,1.7978618000001916,,,,7208.0,,,,ok,,
5,train,mnist,tinycnn_mnist,dirichlet,64,2,client1,0.05893503521173596,,,,3.352061699999922,,,,12792.0,,,,ok,,
5,eval,mnist,tinycnn_mnist,dirichlet,64,2,server,,0.08727823077887296,0.974,0.9738563927889634,,0.4480876000002354,,,,,,,,,
6,train,mnist,tinycnn_mnist,dirichlet,64,2,client0,0.07744164449823286,,,,1.9783754999998564,,,,7208.0,,,,ok,,
6,train,mnist,tinycnn_mnist,dirichlet,64,2,client1,0.04803863310810176,,,,3.213652699999784,,,,12792.0,,,,ok,,
6,eval,mnist,tinycnn_mnist,dirichlet,64,2,server,,0.0876207321062684,0.9715,0.9711903633406838,,0.3998013999998875,,,,,,,,,
7,train,mnist,tinycnn_mnist,dirichlet,64,2,client0,0.06680692570877327,,,,1.672626599999603,,,,7208.0,,,,ok,,
7,train,mnist,tinycnn_mnist,dirichlet,64,2,client1,0.041015427533404356,,,,2.8209130999998706,,,,12792.0,,,,ok,,
7,eval,mnist,tinycnn_mnist,dirichlet,64,2,server,,0.08674674677848816,0.97,0.969545311953999,,0.3868521999997938,,,,,,,,,
8,train,mnist,tinycnn_mnist,dirichlet,64,2,client0,0.059176903473860384,,,,1.5673338000001422,,,,7208.0,,,,ok,,
8,train,mnist,tinycnn_mnist,dirichlet,64,2,client1,0.03486950278516306,,,,3.1527093999998215,,,,12792.0,,,,ok,,
8,eval,mnist,tinycnn_mnist,dirichlet,64,2,server,,0.0760679043456912,0.977,0.9767989527285895,,0.4503191999997398,,,,,,,,,
9,train,mnist,tinycnn_mnist,dirichlet,64,2,client0,0.05343594420215448,,,,1.7945245999999315,,,,7208.0,,,,ok,,
9,train,mnist,tinycnn_mnist,dirichlet,64,2,client1,0.029444067970761625,,,,3.072137499999826,,,,12792.0,,,,ok,,
9,eval,mnist,tinycnn_mnist,dirichlet,64,2,server,,0.07578377448022365,0.9745,0.9743530955467218,,0.43019230000027164,,,,,,,,,
10,train,mnist,tinycnn_mnist,dirichlet,64,2,client0,0.04775734846847138,,,,1.997279400000025,,,,7208.0,,,,ok,,
