round,phase,dataset,model,split,B,E,client_id,train_loss,global_loss,accuracy,macro_f1,train_time,eval_time,bytes_sent,bytes_recv,samples,peak_memory_mb,num_params,comm_bytes_per_round,status,pi_temp,pi_throttled
10,train,mnist,tinycnn_mnist,dirichlet,64,2,client1,0.025410999963030898,,,,3.472461100000146,,,,12792.0,,,,ok,,
10,eval,mnist,tinycnn_mnist,dirichlet,64,2,server,,0.07789890519529581,0.975,0.9746775708326931,,0.41882570000007036,,,,,,,,,
11,train,mnist,tinycnn_mnist,dirichlet,64,2,client0,0.045360901582671885,,,,1.874573699999928,,,,7208.0,,,,ok,,
11,train,mnist,tinycnn_mnist,dirichlet,64,2,client1,0.02227899271399575,,,,3.3268794999999045,,,,12792.0,,,,ok,,
11,eval,mnist,tinycnn_mnist,dirichlet,64,2,server,,0.07437532233446836,0.975,0.974646838173677,,0.4153111999999055,,,,,,,,,
12,train,mnist,tinycnn_mnist,dirichlet,64,2,client0,0.04025120541999131,,,,1.8550215000000208,,,,7208.0,,,,ok,,
12,train,mnist,tinycnn_mnist,dirichlet,64,2,client1,0.019262699194233852,,,,3.1557106999998723,,,,12792.0,,,,ok,,
12,eval,mnist,tinycnn_mnist,dirichlet,64,2,server,,0.07384385919570922,0.974,0.9737372367246552,,0.3890591999997923,,,,,,,,,
13,train,mnist,tinycnn_mnist,dirichlet,64,2,client0,0.037385599112466854,,,,1.9675483999999415,,,,7208.0,,,,ok,,
13,train,mnist,tinycnn_mnist,dirichlet,64,2,client1,0.017125778630017078,,,,3.0982183999999506,,,,12792.0,,,,ok,,
13,eval,mnist,tinycnn_mnist,dirichlet,64,2,server,,0.06964782057702541,0.976,0.9757874259064871,,0.38166039999987333,,,,,,,,,
14,train,mnist,tinycnn_mnist,dirichlet,64,2,client0,0.03361956161352807,,,,1.873573899999883,,,,7208.0,,,,ok,,
14,train,mnist,tinycnn_mnist,dirichlet,64,2,client1,0.014893350518891603,,,,3.3385295999996742,,,,12792.0,,,,ok,,
14,eval,mnist,tinycnn_mnist,dirichlet,64,2,server,,0.07094904479198158,0.9745,0.9742946435365442,,0.41656490000013946,,,,,,,,,
15,train,mnist,tinycnn_mnist,dirichlet,64,2,client0,0.029718608089973873,,,,1.9077508999998827,,,,7208.0,,,,ok,,
15,train,mnist,tinycnn_mnist,dirichlet,64,2,client1,0.01317448941673303,,,,2.8482435999999325,,,,12792.0,,,,ok,,
15,eval,mnist,tinycnn_mnist,dirichlet,64,2,server,,0.07200566801428795,0.9765,0.9762138250505448,,0.36768080000001646,,,,,,,,,
16,train,mnist,tinycnn_mnist,dirichlet,64,2,client0,0.02812285735669828,,,,1.4298855999995794,,,,7208.0,,,,ok,,
16,train,mnist,tinycnn_mnist,dirichlet,64,2,client1,0.011983662300287112,,,,2.716773099999955,,,,12792.0,,,,ok,,
16,eval,mnist,tinycnn_mnist,dirichlet,64,2,server,,0.07126752258650959,0.976,0.975813939736787,,0.3659144000002925,,,,,,,,,
17,train,mnist,tinycnn_mnist,dirichlet,64,2,client0,0.02480682603173479,,,,1.654569399999673,,,,7208.0,,,,ok,,
17,train,mnist,tinycnn_mnist,dirichlet,64,2,client1,0.01073063059294686,,,,2.9662920999999187,,,,12792.0,,,,ok,,
17,eval,mnist,tinycnn_mnist,dirichlet,64,2,server,,0.07109688969328999,0.975,0.9747754206241563,,0.3773271999998542,,,,,,,,,
18,train,mnist,tinycnn_mnist,dirichlet,64,2,client0,0.023563460108501574,,,,1.6283069999999498,,,,7208.0,,,,ok,,
18,train,mnist,tinycnn_mnist,dirichlet,64,2,client1,0.009766283761871556,,,,3.1267299000001003,,,,12792.0,,,,ok,,
18,eval,mnist,tinycnn_mnist,dirichlet,64,2,server,,0.07226686336100102,0.9735,0.9732960095457143,,0.3854805999999371,,,,,,,,,
19,train,mnist,tinycnn_mnist,dirichlet,64,2,client0,0.021229632713570448,,,,1.8879911999997603,,,,7208.0,,,,ok,,
19,train,mnist,tinycnn_mnist,dirichlet,64,2,client1,0.008917140588630282,,,,2.863683800000217,,,,12792.0,,,,ok,,
19,eval,mnist,tinycnn_mnist,dirichlet,64,2,server,,0.07074699077941478,0.9745,0.9742479153310676,,0.3724265999999261,,,,,,,,,
20,train,mnist,tinycnn_mnist,dirichlet,64,2,client0,0.018907529916965735,,,,1.7956451999998535,,,,7208.0,,,,ok,,
20,train,mnist,tinycnn_mnist,dirichlet,64,2,client1,0.007804427545644655,,,,3.090022500000032,,,,12792.0,,,,ok,,
20,eval,mnist,tinycnn_mnist,dirichlet,64,2,server,,0.0724204702284187,0.973,0.9727122674098861,,0.39764459999969404,,,,,,,,,
