round,phase,dataset,model,split,B,E,client_id,train_loss,global_loss,accuracy,macro_f1,train_time,eval_time,bytes_sent,bytes_recv,samples,peak_memory_mb,status,pi_temp,pi_throttled
1,train,mnist,tinycnn_mnist,iid,64,1,client0,0.5574910694547817,,,,1.6925619000103325,,,,5002.0,566.61328125,ok,,
1,train,mnist,tinycnn_mnist,iid,64,1,client1,0.601822119180848,,,,1.7082437999779359,,,,4998.0,566.640625,ok,,
1,eval,mnist,tinycnn_mnist,iid,64,1,server,,0.3369458589553833,0.901,0.8912708886296936,,0.22361799993086606,,,,,,,
2,train,mnist,tinycnn_mnist,iid,64,1,client0,0.14880598612354606,,,,2.025547800003551,,,,5002.0,569.5,ok,,
2,train,mnist,tinycnn_mnist,iid,64,1,client1,0.19519687677272785,,,,1.827056200010702,,,,4998.0,538.7578125,ok,,
2,eval,mnist,tinycnn_mnist,iid,64,1,server,,0.09436887663602829,0.964,0.963163057577422,,0.27163450000807643,,,,,,,
3,train,mnist,tinycnn_mnist,iid,64,1,client0,0.09276319744109345,,,,2.240599100012332,,,,5002.0,542.71484375,ok,,
3,train,mnist,tinycnn_mnist,iid,64,1,client1,0.1073041620994864,,,,2.083089799969457,,,,4998.0,539.421875,ok,,
3,eval,mnist,tinycnn_mnist,iid,64,1,server,,0.08432150733470917,0.969,0.9680458147544428,,0.265924800070934,,,,,,,
4,train,mnist,tinycnn_mnist,iid,64,1,client0,0.06276635759499301,,,,1.8429576000198722,,,,5002.0,544.40234375,ok,,
4,train,mnist,tinycnn_mnist,iid,64,1,client1,0.07226668204632396,,,,1.7271331999218091,,,,4998.0,541.09375,ok,,
4,eval,mnist,tinycnn_mnist,iid,64,1,server,,0.05711138305068016,0.981,0.980348394319507,,0.27467820001766086,,,,,,,
5,train,mnist,tinycnn_mnist,iid,64,1,client0,0.04344349546057851,,,,1.8264718999853358,,,,5002.0,545.6640625,ok,,
5,train,mnist,tinycnn_mnist,iid,64,1,client1,0.0518615745850617,,,,1.826663300045766,,,,4998.0,542.6171875,ok,,
5,eval,mnist,tinycnn_mnist,iid,64,1,server,,0.05496983563899994,0.981,0.9804356585586216,,0.2812868000473827,,,,,,,
6,train,mnist,tinycnn_mnist,iid,64,1,client0,0.040729945599909924,,,,1.7363252999493852,,,,5002.0,547.1953125,ok,,
6,train,mnist,tinycnn_mnist,iid,64,1,client1,0.05746486262172735,,,,1.7482623000396416,,,,4998.0,543.95703125,ok,,
6,eval,mnist,tinycnn_mnist,iid,64,1,server,,0.07279817473888398,0.976,0.975590347510777,,0.25840579997748137,,,,,,,
7,train,mnist,tinycnn_mnist,iid,64,1,client0,0.03328789562666144,,,,1.8236293999943882,,,,5002.0,550.14453125,ok,,
7,train,mnist,tinycnn_mnist,iid,64,1,client1,0.04132204515175247,,,,1.842567800078541,,,,4998.0,545.2578125,ok,,
7,eval,mnist,tinycnn_mnist,iid,64,1,server,,0.05226401817053557,0.981,0.980888882098891,,0.27686119999270886,,,,,,,
