round,phase,dataset,model,split,B,E,client_id,train_loss,global_loss,accuracy,macro_f1,train_time,eval_time,bytes_sent,bytes_recv,samples,peak_memory_mb,status,pi_temp,pi_throttled
1,train,cifar10,squeezenet_cifar,iid,32,5,pi127,2.174863682581421,,,,6587.06611443,,2932579,2932203,24985,1064.44921875,ok,temp=70.6'C,throttled=0xf0000
1,train,cifar10,squeezenet_cifar,iid,32,5,pi99,2.2420947028664666,,,,5134.889679193999,,2932579,2932200,25015,1072.671875,ok,temp=52.5'C,throttled=0x0
1,eval,cifar10,squeezenet_cifar,iid,32,5,server,,2.0885196628570557,0.196,0.1046254778883863,,2.02957049998804,5865158,5864403,,,,,
2,train,cifar10,squeezenet_cifar,iid,32,5,pi127,1.84027308499262,,,,4425.43804963,,5865158,5864311,24985,1077.69140625,ok,temp=71.1'C,throttled=0xf0000
2,train,cifar10,squeezenet_cifar,iid,32,5,pi99,1.8415791143924027,,,,5131.048890197999,,5865158,5864309,25015,1067.89453125,ok,temp=51.6'C,throttled=0x0
2,eval,cifar10,squeezenet_cifar,iid,32,5,server,,1.683102240562439,0.3295,0.262233918775971,,1.1526737999956822,11730316,11728620,,,,,
3,train,cifar10,squeezenet_cifar,iid,32,5,pi127,1.6722024700344384,,,,4422.443711063001,,8797737,8796425,24985,1059.69921875,ok,temp=77.9'C,throttled=0xf0000
3,train,cifar10,squeezenet_cifar,iid,32,5,pi99,1.6667074492519531,,,,5127.862518511003,,8797737,8796415,25015,1077.90625,ok,temp=54.5'C,throttled=0x0
3,eval,cifar10,squeezenet_cifar,iid,32,5,server,,1.5399566478729247,0.4415,0.41638770640631445,,1.3546184000006178,17595474,17592840,,,,,
