round,phase,dataset,model,split,B,E,client_id,train_loss,global_loss,accuracy,macro_f1,train_time,eval_time,bytes_sent,bytes_recv,samples,peak_memory_mb,status,pi_temp,pi_throttled
1,train,cifar10,resnet18_cifar,iid,32,2,pi127,2.1227306675285917,,,,10454.321329093,,44771494,44771121,9994,1053.3515625,ok,temp=84.2'C,throttled=0xf0006
1,train,cifar10,resnet18_cifar,iid,32,2,pi99,2.090489506912117,,,,5248.991881766,,44771494,44771113,10006,1064.203125,ok,temp=53.0'C,throttled=0x0
1,eval,cifar10,resnet18_cifar,iid,32,2,server,,2.348470932006836,0.099,0.018016378525932665,,1.4229680000007647,89542988,89542234,,,,,
2,train,cifar10,resnet18_cifar,iid,32,2,pi127,1.7172001495059785,,,,11197.703753521,,89542988,89542148,9994,1106.6015625,ok,temp=84.7'C,throttled=0xf0008
2,train,cifar10,resnet18_cifar,iid,32,2,pi99,1.6965231747954173,,,,5247.624382063999,,89542988,89542139,10006,1119.95703125,ok,temp=54.5'C,throttled=0x0
2,eval,cifar10,resnet18_cifar,iid,32,2,server,,1.4408544073104859,0.4605,0.4323471937891238,,7.331266499997582,179085976,179084287,,,,,
3,train,cifar10,resnet18_cifar,iid,32,2,pi127,1.40855859507793,,,,11128.607480949002,,134314482,134313177,9994,1111.98828125,ok,temp=85.2'C,throttled=0xf0006
3,train,cifar10,resnet18_cifar,iid,32,2,pi99,1.408268849277363,,,,5267.048002732998,,134314482,134313163,10006,1091.2265625,ok,temp=53.5'C,throttled=0x0
3,eval,cifar10,resnet18_cifar,iid,32,2,server,,1.233008352279663,0.54,0.5202378055050108,,3.7525175999981,268628964,268626340,,,,,
