round,phase,dataset,model,split,B,E,client_id,train_loss,global_loss,accuracy,macro_f1,train_time,eval_time,bytes_sent,bytes_recv,samples,peak_memory_mb,status,pi_temp,pi_throttled
1,train,mnist,tinycnn_mnist,iid,16,1,client0,0.6490861381598112,,,,2.777490000007674,,,,5002.0,628.40625,ok,,
1,train,mnist,tinycnn_mnist,iid,16,1,client1,0.6738654685886103,,,,2.5189155000261962,,,,4998.0,631.93359375,ok,,
1,eval,mnist,tinycnn_mnist,iid,16,1,server,,0.8123909583091736,0.853,0.8509771054242158,,0.2878597999224439,,,,,,,
2,train,mnist,tinycnn_mnist,iid,16,1,client0,0.259856101510287,,,,2.4093757999362424,,,,5002.0,641.62109375,ok,,
2,train,mnist,tinycnn_mnist,iid,16,1,client1,0.30410761383211926,,,,2.4857508999994025,,,,4998.0,640.046875,ok,,
2,eval,mnist,tinycnn_mnist,iid,16,1,server,,0.2680425103604794,0.92,0.918827859826078,,0.30831809993833303,,,,,,,
3,train,mnist,tinycnn_mnist,iid,16,1,client0,0.16201118271543188,,,,2.614569899975322,,,,5002.0,645.55078125,ok,,
3,train,mnist,tinycnn_mnist,iid,16,1,client1,0.19976806055334043,,,,2.321638600085862,,,,4998.0,641.98828125,ok,,
3,eval,mnist,tinycnn_mnist,iid,16,1,server,,0.1451694920640439,0.951,0.9495053079568334,,0.28331969992723316,,,,,,,
4,train,mnist,tinycnn_mnist,iid,16,1,client0,0.13235106438238983,,,,2.3928456000285223,,,,5002.0,647.75,ok,,
4,train,mnist,tinycnn_mnist,iid,16,1,client1,0.1414156901743673,,,,2.270201600040309,,,,4998.0,644.03515625,ok,,
4,eval,mnist,tinycnn_mnist,iid,16,1,server,,0.1463427439648658,0.951,0.9496136572057031,,0.2729187000077218,,,,,,,
5,train,mnist,tinycnn_mnist,iid,16,1,client0,0.11216101319463391,,,,2.496328499983065,,,,5002.0,649.2109375,ok,,
5,train,mnist,tinycnn_mnist,iid,16,1,client1,0.10883439355794795,,,,2.438118699938059,,,,4998.0,645.87890625,ok,,
5,eval,mnist,tinycnn_mnist,iid,16,1,server,,0.10801543017599033,0.965,0.9644375513946641,,0.276139699970372,,,,,,,
6,train,mnist,tinycnn_mnist,iid,16,1,client0,0.09469093133904236,,,,2.4875222999835387,,,,5002.0,651.7421875,ok,,
6,train,mnist,tinycnn_mnist,iid,16,1,client1,0.09370156832885056,,,,2.3430833999300376,,,,4998.0,648.37109375,ok,,
6,eval,mnist,tinycnn_mnist,iid,16,1,server,,0.08776980269886553,0.972,0.9715899007834183,,0.31632430001627654,,,,,,,
7,train,mnist,tinycnn_mnist,iid,16,1,client0,0.07354321245296595,,,,2.404915100079961,,,,5002.0,653.5546875,ok,,
7,train,mnist,tinycnn_mnist,iid,16,1,client1,0.08220164487557886,,,,2.759088800055906,,,,4998.0,650.05078125,ok,,
7,eval,mnist,tinycnn_mnist,iid,16,1,server,,0.06965702469553799,0.977,0.9764554098536367,,0.3125452999956906,,,,,,,
