threshold,comm_rank,B,E,run_name,reached_round,reached,estimated_comm_bytes_to_threshold,estimated_comm_mb_to_threshold,sync_time_to_threshold_s,final_acc,best_acc,best_round,local_updates_per_client_round,avg_sync_round_time_s,is_boundary_B,is_boundary_E,coverage_note,run_dir
0.98,2,32,4,mnist10k-iid-b32-e4-r20,3,yes,5153664,4.915,23.463,0.979,0.984,5,2504,7.89,no,no,interior grid point,runs\mnist_comm_sweep\mnist10k-iid-b32-e4-r20
0.98,3,64,1,mnist10k-iid-b64-e1-r20,4,yes,6871552,6.553,8.853,0.986,0.988,13,79,3.76,yes,yes,B at upper grid boundary; E at lower grid boundary,runs\mnist_comm_sweep\mnist10k-iid-b64-e1-r20
0.98,4,64,2,mnist10k-iid-b64-e2-r20,4,yes,6871552,6.553,14.494,0.984,0.986,8,314,3.561,yes,no,B at upper grid boundary,runs\mnist_comm_sweep\mnist10k-iid-b64-e2-r20
0.98,5,64,4,mnist10k-iid-b64-e4-r20,4,yes,6871552,6.553,25.464,0.989,0.99,7,1252,6.493,yes,no,B at upper grid boundary,runs\mnist_comm_sweep\mnist10k-iid-b64-e4-r20
0.98,6,32,8,mnist10k-iid-b32-e8-r20,4,yes,6871552,6.553,64.482,0.981,0.983,4,10008,20.122,no,yes,E at upper grid boundary,runs\mnist_comm_sweep\mnist10k-iid-b32-e8-r20
0.98,7,16,8,mnist10k-iid-b16-e8-r20,5,yes,8589440,8.192,102.673,0.98,0.982,5,20008,20.742,yes,yes,B at lower grid boundary; E at upper grid boundary,runs\mnist_comm_sweep\mnist10k-iid-b16-e8-r20
0.98,8,32,2,mnist10k-iid-b32-e2-r20,9,yes,15460992,14.745,36.896,0.984,0.984,13,626,4.102,no,no,interior grid point,runs\mnist_comm_sweep\mnist10k-iid-b32-e2-r20
0.98,9,16,2,mnist10k-iid-b16-e2-r20,16,yes,27486208,26.213,84.285,0.978,0.981,16,1252,5.266,yes,no,B at lower grid boundary,runs\mnist_comm_sweep\mnist10k-iid-b16-e2-r20
0.98,10,16,1,mnist10k-iid-b16-e1-r20,18,yes,30921984,29.49,49.797,0.967,0.98,18,313,2.757,yes,yes,B at lower grid boundary; E at lower grid boundary,runs\mnist_comm_sweep\mnist10k-iid-b16-e1-r20
0.98,,16,4,mnist10k-iid-b16-e4-r20,,no,,,,0.975,0.979,10,5004,10.435,yes,no,B at lower grid boundary,runs\mnist_comm_sweep\mnist10k-iid-b16-e4-r20
0.98,,32,1,mnist10k-iid-b32-e1-r20,,no,,,,0.978,0.979,14,157,2.19,no,yes,E at lower grid boundary,runs\mnist_comm_sweep\mnist10k-iid-b32-e1-r20
0.985,1,64,8,mnist10k-iid-b64-e8-r20,3,yes,5153664,4.915,36.739,0.984,0.988,5,5008,12.378,yes,yes,B at upper grid boundary; E at upper grid boundary,runs\mnist_comm_sweep\mnist10k-iid-b64-e8-r20
0.985,2,64,2,mnist10k-iid-b64-e2-r20,5,yes,8589440,8.192,18.147,0.984,0.986,8,314,3.561,yes,no,B at upper grid boundary,runs\mnist_comm_sweep\mnist10k-iid-b64-e2-r20
0.985,3,64,4,mnist10k-iid-b64-e4-r20,5,yes,8589440,8.192,31.662,0.989,0.99,7,1252,6.493,yes,no,B at upper grid boundary,runs\mnist_comm_sweep\mnist10k-iid-b64-e4-r20
0.985,4,64,1,mnist10k-iid-b64-e1-r20,10,yes,17178880,16.383,21.462,0.986,0.988,13,79,3.76,yes,yes,B at upper grid boundary; E at lower grid boundary,runs\mnist_comm_sweep\mnist10k-iid-b64-e1-r20
0.985,,16,1,mnist10k-iid-b16-e1-r20,,no,,,,0.967,0.98,18,313,2.757,yes,yes,B at lower grid boundary; E at lower grid boundary,runs\mnist_comm_sweep\mnist10k-iid-b16-e1-r20
0.985,,16,2,mnist10k-iid-b16-e2-r20,,no,,,,0.978,0.981,16,1252,5.266,yes,no,B at lower grid boundary,runs\mnist_comm_sweep\mnist10k-iid-b16-e2-r20
0.985,,16,4,mnist10k-iid-b16-e4-r20,,no,,,,0.975,0.979,10,5004,10.435,yes,no,B at lower grid boundary,runs\mnist_comm_sweep\mnist10k-iid-b16-e4-r20
0.985,,16,8,mnist10k-iid-b16-e8-r20,,no,,,,0.98,0.982,5,20008,20.742,yes,yes,B at lower grid boundary; E at upper grid boundary,runs\mnist_comm_sweep\mnist10k-iid-b16-e8-r20
0.985,,32,1,mnist10k-iid-b32-e1-r20,,no,,,,0.978,0.979,14,157,2.19,no,yes,E at lower grid boundary,runs\mnist_comm_sweep\mnist10k-iid-b32-e1-r20
0.985,,32,2,mnist10k-iid-b32-e2-r20,,no,,,,0.984,0.984,13,626,4.102,no,no,interior grid point,runs\mnist_comm_sweep\mnist10k-iid-b32-e2-r20
0.985,,32,4,mnist10k-iid-b32-e4-r20,,no,,,,0.979,0.984,5,2504,7.89,no,no,interior grid point,runs\mnist_comm_sweep\mnist10k-iid-b32-e4-r20
0.985,,32,8,mnist10k-iid-b32-e8-r20,,no,,,,0.981,0.983,4,10008,20.122,no,yes,E at upper grid boundary,runs\mnist_comm_sweep\mnist10k-iid-b32-e8-r20
0.99,1,64,4,mnist10k-iid-b64-e4-r20,7,yes,12025216,11.468,44.321,0.989,0.99,7,1252,6.493,yes,no,B at upper grid boundary,runs\mnist_comm_sweep\mnist10k-iid-b64-e4-r20
0.99,,16,1,mnist10k-iid-b16-e1-r20,,no,,,,0.967,0.98,18,313,2.757,yes,yes,B at lower grid boundary; E at lower grid boundary,runs\mnist_comm_sweep\mnist10k-iid-b16-e1-r20
0.99,,16,2,mnist10k-iid-b16-e2-r20,,no,,,,0.978,0.981,16,1252,5.266,yes,no,B at lower grid boundary,runs\mnist_comm_sweep\mnist10k-iid-b16-e2-r20
0.99,,16,4,mnist10k-iid-b16-e4-r20,,no,,,,0.975,0.979,10,5004,10.435,yes,no,B at lower grid boundary,runs\mnist_comm_sweep\mnist10k-iid-b16-e4-r20
0.99,,16,8,mnist10k-iid-b16-e8-r20,,no,,,,0.98,0.982,5,20008,20.742,yes,yes,B at lower grid boundary; E at upper grid boundary,runs\mnist_comm_sweep\mnist10k-iid-b16-e8-r20
0.99,,32,1,mnist10k-iid-b32-e1-r20,,no,,,,0.978,0.979,14,157,2.19,no,yes,E at lower grid boundary,runs\mnist_comm_sweep\mnist10k-iid-b32-e1-r20
0.99,,32,2,mnist10k-iid-b32-e2-r20,,no,,,,0.984,0.984,13,626,4.102,no,no,interior grid point,runs\mnist_comm_sweep\mnist10k-iid-b32-e2-r20
0.99,,32,4,mnist10k-iid-b32-e4-r20,,no,,,,0.979,0.984,5,2504,7.89,no,no,interior grid point,runs\mnist_comm_sweep\mnist10k-iid-b32-e4-r20
0.99,,32,8,mnist10k-iid-b32-e8-r20,,no,,,,0.981,0.983,4,10008,20.122,no,yes,E at upper grid boundary,runs\mnist_comm_sweep\mnist10k-iid-b32-e8-r20
0.99,,64,1,mnist10k-iid-b64-e1-r20,,no,,,,0.986,0.988,13,79,3.76,yes,yes,B at upper grid boundary; E at lower grid boundary,runs\mnist_comm_sweep\mnist10k-iid-b64-e1-r20
0.99,,64,2,mnist10k-iid-b64-e2-r20,,no,,,,0.984,0.986,8,314,3.561,yes,no,B at upper grid boundary,runs\mnist_comm_sweep\mnist10k-iid-b64-e2-r20
0.99,,64,8,mnist10k-iid-b64-e8-r20,,no,,,,0.984,0.988,5,5008,12.378,yes,yes,B at upper grid boundary; E at upper grid boundary,runs\mnist_comm_sweep\mnist10k-iid-b64-e8-r20
