round,phase,dataset,model,split,B,E,client_id,train_loss,global_loss,accuracy,macro_f1,train_time,eval_time,bytes_sent,bytes_recv,samples,peak_memory_mb,status,pi_temp,pi_throttled
1,train,mnist,tinycnn_mnist,iid,64,8,client0,0.12053596199362604,,,,11.527334699989296,,,,40016.0,518.80859375,ok,,
1,train,mnist,tinycnn_mnist,iid,64,8,client1,0.13543217992103537,,,,11.814208299969323,,,,39984.0,518.58984375,ok,,
1,eval,mnist,tinycnn_mnist,iid,64,8,server,,0.12226333279907703,0.963,0.9614682761466066,,0.23404909996315837,,,,,,,
2,train,mnist,tinycnn_mnist,iid,64,8,client0,0.015758132512799488,,,,12.009190200013109,,,,40016.0,523.0859375,ok,,
2,train,mnist,tinycnn_mnist,iid,64,8,client1,0.030964064508284036,,,,11.904506399994716,,,,39984.0,519.97265625,ok,,
2,eval,mnist,tinycnn_mnist,iid,64,8,server,,0.047048285037279126,0.982,0.9813014627577148,,0.2249555999878794,,,,,,,
3,train,mnist,tinycnn_mnist,iid,64,8,client0,0.005066468517506294,,,,12.220930400071666,,,,40016.0,526.8828125,ok,,
3,train,mnist,tinycnn_mnist,iid,64,8,client1,0.006314055668569808,,,,11.888789399992675,,,,39984.0,521.47265625,ok,,
3,eval,mnist,tinycnn_mnist,iid,64,8,server,,0.03801652539521456,0.986,0.9856332914729853,,0.235553800011985,,,,,,,
4,train,mnist,tinycnn_mnist,iid,64,8,client0,0.0016534784197228688,,,,12.00508319993969,,,,40016.0,527.484375,ok,,
4,train,mnist,tinycnn_mnist,iid,64,8,client1,0.0017327444629505018,,,,11.90700280002784,,,,39984.0,523.2890625,ok,,
4,eval,mnist,tinycnn_mnist,iid,64,8,server,,0.039582134053111076,0.987,0.9864641049892879,,0.2086155000142753,,,,,,,
5,train,mnist,tinycnn_mnist,iid,64,8,client0,0.0002951918544045356,,,,11.950573400012217,,,,40016.0,528.65625,ok,,
5,train,mnist,tinycnn_mnist,iid,64,8,client1,0.00032020605119369134,,,,11.738820599974133,,,,39984.0,524.69140625,ok,,
5,eval,mnist,tinycnn_mnist,iid,64,8,server,,0.04247561052814126,0.988,0.9876149138143816,,0.21303089999128133,,,,,,,
6,train,mnist,tinycnn_mnist,iid,64,8,client0,0.00017143645772630214,,,,12.003565300023183,,,,40016.0,530.0546875,ok,,
6,train,mnist,tinycnn_mnist,iid,64,8,client1,0.00015499602853916955,,,,12.007159800035879,,,,39984.0,525.48046875,ok,,
6,eval,mnist,tinycnn_mnist,iid,64,8,server,,0.04299935646355152,0.987,0.9863057679879642,,0.2318466000724584,,,,,,,
7,train,mnist,tinycnn_mnist,iid,64,8,client0,0.01039052640050197,,,,12.550332700018771,,,,40016.0,531.171875,ok,,
7,train,mnist,tinycnn_mnist,iid,64,8,client1,0.0001109975222841367,,,,12.007200799998827,,,,39984.0,527.140625,ok,,
7,eval,mnist,tinycnn_mnist,iid,64,8,server,,0.05644548574835062,0.98,0.9792864439643363,,0.21481270005460829,,,,,,,
8,train,mnist,tinycnn_mnist,iid,64,8,client0,0.00011711531458178204,,,,12.072132500004955,,,,40016.0,533.328125,ok,,
8,train,mnist,tinycnn_mnist,iid,64,8,client1,0.004828324837311059,,,,12.025101599982008,,,,39984.0,530.16796875,ok,,
8,eval,mnist,tinycnn_mnist,iid,64,8,server,,0.048268246777355674,0.983,0.982512115039102,,0.23207559995353222,,,,,,,
9,train,mnist,tinycnn_mnist,iid,64,8,client0,0.0008552260108461698,,,,12.366363700013608,,,,40016.0,533.0390625,ok,,
9,train,mnist,tinycnn_mnist,iid,64,8,client1,9.704521861541146e-05,,,,12.281952199991792,,,,39984.0,528.3828125,ok,,
9,eval,mnist,tinycnn_mnist,iid,64,8,server,,0.0480369045175612,0.985,0.9844148932355272,,0.2308812999399379,,,,,,,
10,train,mnist,tinycnn_mnist,iid,64,8,client0,0.0006574437269747179,,,,12.557970799971372,,,,40016.0,533.14453125,ok,,
10,train,mnist,tinycnn_mnist,iid,64,8,client1,8.697397170417299e-05,,,,12.003917500027455,,,,39984.0,530.125,ok,,
10,eval,mnist,tinycnn_mnist,iid,64,8,server,,0.0472315072696656,0.986,0.9855396738182798,,0.21760299999732524,,,,,,,
11,train,mnist,tinycnn_mnist,iid,64,8,client0,6.149688561567721e-05,,,,12.212375100003555,,,,40016.0,534.5625,ok,,
11,train,mnist,tinycnn_mnist,iid,64,8,client1,9.674768384218903e-05,,,,12.31764459994156,,,,39984.0,531.2890625,ok,,
11,eval,mnist,tinycnn_mnist,iid,64,8,server,,0.04816456895321607,0.987,0.9864764046193842,,0.24175970000214875,,,,,,,
12,train,mnist,tinycnn_mnist,iid,64,8,client0,4.627174927647217e-05,,,,12.306108999997377,,,,40016.0,536.94921875,ok,,
12,train,mnist,tinycnn_mnist,iid,64,8,client1,6.213515585112377e-05,,,,12.004463499994017,,,,39984.0,532.74609375,ok,,
12,eval,mnist,tinycnn_mnist,iid,64,8,server,,0.04885050369054079,0.986,0.9855396738182798,,0.2582737000193447,,,,,,,
13,train,mnist,tinycnn_mnist,iid,64,8,client0,4.09996597092433e-05,,,,12.088087000069208,,,,40016.0,537.58203125,ok,,
13,train,mnist,tinycnn_mnist,iid,64,8,client1,4.7971938918368285e-05,,,,12.156909200013615,,,,39984.0,533.875,ok,,
13,eval,mnist,tinycnn_mnist,iid,64,8,server,,0.05023412294872105,0.985,0.9843501381423121,,0.22471869993023574,,,,,,,
14,train,mnist,tinycnn_mnist,iid,64,8,client0,3.6740722204177874e-05,,,,12.28095879999455,,,,40016.0,539.703125,ok,,
14,train,mnist,tinycnn_mnist,iid,64,8,client1,3.9702542523971704e-05,,,,11.94786529999692,,,,39984.0,534.05859375,ok,,
14,eval,mnist,tinycnn_mnist,iid,64,8,server,,0.05018842037767172,0.985,0.9843501381423121,,0.2163578000618145,,,,,,,
15,train,mnist,tinycnn_mnist,iid,64,8,client0,2.8797403432350493e-05,,,,11.995737300021574,,,,40016.0,539.67578125,ok,,
15,train,mnist,tinycnn_mnist,iid,64,8,client1,3.558631539295966e-05,,,,12.013408600003459,,,,39984.0,503.7578125,ok,,
15,eval,mnist,tinycnn_mnist,iid,64,8,server,,0.04951607333868742,0.985,0.9843501381423121,,0.20469640009105206,,,,,,,
16,train,mnist,tinycnn_mnist,iid,64,8,client0,2.6636473088744778e-05,,,,12.079421199974604,,,,40016.0,508.2265625,ok,,
16,train,mnist,tinycnn_mnist,iid,64,8,client1,3.0297565665458953e-05,,,,11.989858000073582,,,,39984.0,505.2890625,ok,,
16,eval,mnist,tinycnn_mnist,iid,64,8,server,,0.05030214068666101,0.986,0.9854800829101876,,0.2237694999203086,,,,,,,
17,train,mnist,tinycnn_mnist,iid,64,8,client0,2.4047081459829847e-05,,,,11.902283000061288,,,,40016.0,509.609375,ok,,
17,train,mnist,tinycnn_mnist,iid,64,8,client1,2.7993339178183492e-05,,,,12.402602600050159,,,,39984.0,506.80078125,ok,,
17,eval,mnist,tinycnn_mnist,iid,64,8,server,,0.05211102628521621,0.984,0.9834182839482711,,0.2254460999974981,,,,,,,
18,train,mnist,tinycnn_mnist,iid,64,8,client0,2.184933224601307e-05,,,,11.895192299969494,,,,40016.0,510.7578125,ok,,
18,train,mnist,tinycnn_mnist,iid,64,8,client1,2.4796251169715876e-05,,,,11.958162599941716,,,,39984.0,507.73046875,ok,,
18,eval,mnist,tinycnn_mnist,iid,64,8,server,,0.05107787616737187,0.985,0.9843501381423121,,0.2003163000335917,,,,,,,
19,train,mnist,tinycnn_mnist,iid,64,8,client0,1.9670905155458293e-05,,,,11.940660299966112,,,,40016.0,512.61328125,ok,,
19,train,mnist,tinycnn_mnist,iid,64,8,client1,2.2831199338369208e-05,,,,12.018921600072645,,,,39984.0,509.375,ok,,
19,eval,mnist,tinycnn_mnist,iid,64,8,server,,0.053601003414019945,0.984,0.9834182839482711,,0.24508450005669147,,,,,,,
20,train,mnist,tinycnn_mnist,iid,64,8,client0,1.887251058320362e-05,,,,11.958630600012839,,,,40016.0,514.0078125,ok,,
20,train,mnist,tinycnn_mnist,iid,64,8,client1,2.129419521069025e-05,,,,11.956751699908637,,,,39984.0,511.015625,ok,,
20,eval,mnist,tinycnn_mnist,iid,64,8,server,,0.05408135330490768,0.984,0.9834182839482711,,0.22884640004485846,,,,,,,
