round,phase,dataset,model,split,B,E,client_id,train_loss,global_loss,accuracy,macro_f1,train_time,eval_time,bytes_sent,bytes_recv,samples,peak_memory_mb,status,pi_temp,pi_throttled
1,train,mnist,tinycnn_mnist,iid,32,1,client0,0.5672863046379863,,,,1.8604453000007197,,,,5002.0,665.19140625,ok,,
1,train,mnist,tinycnn_mnist,iid,32,1,client1,0.5914437854353215,,,,1.8687484000110999,,,,4998.0,665.234375,ok,,
1,eval,mnist,tinycnn_mnist,iid,32,1,server,,0.6389389271736146,0.846,0.8432678488939546,,0.25372799998149276,,,,,,,
2,train,mnist,tinycnn_mnist,iid,32,1,client0,0.178438665450974,,,,1.8194676999701187,,,,5002.0,671.69921875,ok,,
2,train,mnist,tinycnn_mnist,iid,32,1,client1,0.19302890450899013,,,,1.840844999998808,,,,4998.0,667.43359375,ok,,
2,eval,mnist,tinycnn_mnist,iid,32,1,server,,0.09559798529744148,0.969,0.9678105899748735,,0.2529948999872431,,,,,,,
3,train,mnist,tinycnn_mnist,iid,32,1,client0,0.09625989035731171,,,,1.7922357999486849,,,,5002.0,673.91796875,ok,,
3,train,mnist,tinycnn_mnist,iid,32,1,client1,0.10606638048918975,,,,1.8060979000292718,,,,4998.0,667.9296875,ok,,
3,eval,mnist,tinycnn_mnist,iid,32,1,server,,0.09396002688258887,0.969,0.9685900740653132,,0.24686339998152107,,,,,,,
4,train,mnist,tinycnn_mnist,iid,32,1,client0,0.0795711630829474,,,,1.8886708000209183,,,,5002.0,674.26171875,ok,,
4,train,mnist,tinycnn_mnist,iid,32,1,client1,0.08387581603814001,,,,1.9158429999370128,,,,4998.0,669.671875,ok,,
4,eval,mnist,tinycnn_mnist,iid,32,1,server,,0.09314195914939045,0.97,0.9692036342757234,,0.26509660005103797,,,,,,,
5,train,mnist,tinycnn_mnist,iid,32,1,client0,0.05392390038812163,,,,1.962849700008519,,,,5002.0,675.91015625,ok,,
5,train,mnist,tinycnn_mnist,iid,32,1,client1,0.07254004605500554,,,,1.8895050000865012,,,,4998.0,671.65234375,ok,,
5,eval,mnist,tinycnn_mnist,iid,32,1,server,,0.07312444757670164,0.974,0.97328190320021,,0.2643159000435844,,,,,,,
6,train,mnist,tinycnn_mnist,iid,32,1,client0,0.043919888926429396,,,,1.886101600015536,,,,5002.0,677.77734375,ok,,
