round,phase,dataset,model,split,B,E,client_id,train_loss,global_loss,accuracy,macro_f1,train_time,eval_time,bytes_sent,bytes_recv,samples,peak_memory_mb,status,pi_temp,pi_throttled
1,train,mnist,tinycnn_mnist,iid,16,2,client0,0.461633552592702,,,,4.782398800016381,,,,10004.0,665.109375,ok,,
1,train,mnist,tinycnn_mnist,iid,16,2,client1,0.49636115686984367,,,,4.76246519992128,,,,9996.0,664.83984375,ok,,
1,eval,mnist,tinycnn_mnist,iid,16,2,server,,0.7529431524276733,0.853,0.8564582179034318,,0.29218570003286004,,,,,,,
2,train,mnist,tinycnn_mnist,iid,16,2,client0,0.18434253657466268,,,,4.7688889999408275,,,,10004.0,669.85546875,ok,,
2,train,mnist,tinycnn_mnist,iid,16,2,client1,0.19142913657299546,,,,4.875451499945484,,,,9996.0,666.5625,ok,,
2,eval,mnist,tinycnn_mnist,iid,16,2,server,,0.10596688323840499,0.969,0.9681484184203516,,0.29027739993762225,,,,,,,
3,train,mnist,tinycnn_mnist,iid,16,2,client0,0.08791893850183678,,,,4.897518899990246,,,,10004.0,671.87890625,ok,,
3,train,mnist,tinycnn_mnist,iid,16,2,client1,0.09941547768282369,,,,5.077118999906816,,,,9996.0,668.53515625,ok,,
3,eval,mnist,tinycnn_mnist,iid,16,2,server,,0.13371218206337654,0.959,0.9583438750468349,,0.33620410005096346,,,,,,,
4,train,mnist,tinycnn_mnist,iid,16,2,client0,0.08155781695438004,,,,5.08584489999339,,,,10004.0,673.73046875,ok,,
4,train,mnist,tinycnn_mnist,iid,16,2,client1,0.0769351545372856,,,,5.67883069999516,,,,9996.0,670.45703125,ok,,
4,eval,mnist,tinycnn_mnist,iid,16,2,server,,0.10124695579055697,0.973,0.9723453151499741,,0.3572807000018656,,,,,,,
5,train,mnist,tinycnn_mnist,iid,16,2,client0,0.05570371841546433,,,,5.160347299999557,,,,10004.0,675.4921875,ok,,
5,train,mnist,tinycnn_mnist,iid,16,2,client1,0.06787569422767945,,,,4.757795199984685,,,,9996.0,672.12109375,ok,,
5,eval,mnist,tinycnn_mnist,iid,16,2,server,,0.1254688876225846,0.967,0.9655165767491696,,0.2951466999948025,,,,,,,
6,train,mnist,tinycnn_mnist,iid,16,2,client0,0.05534369120155274,,,,4.761321099940687,,,,10004.0,680.546875,ok,,
6,train,mnist,tinycnn_mnist,iid,16,2,client1,0.05250736997125699,,,,4.860454599955119,,,,9996.0,676.03515625,ok,,
6,eval,mnist,tinycnn_mnist,iid,16,2,server,,0.13102795540441367,0.967,0.9659156439872568,,0.30042610003147274,,,,,,,
7,train,mnist,tinycnn_mnist,iid,16,2,client0,0.03682135848931339,,,,4.70243089995347,,,,10004.0,681.21875,ok,,
7,train,mnist,tinycnn_mnist,iid,16,2,client1,0.06500622428903566,,,,4.738050600048155,,,,9996.0,677.68359375,ok,,
7,eval,mnist,tinycnn_mnist,iid,16,2,server,,0.10562457220838405,0.962,0.9612983691881256,,0.2743878000183031,,,,,,,
8,train,mnist,tinycnn_mnist,iid,16,2,client0,0.02991330610329981,,,,4.677050500060432,,,,10004.0,682.78125,ok,,
8,train,mnist,tinycnn_mnist,iid,16,2,client1,0.04774034446121962,,,,4.714166400022805,,,,9996.0,679.9921875,ok,,
8,eval,mnist,tinycnn_mnist,iid,16,2,server,,0.09956735108782232,0.973,0.9720471157288161,,0.3081986999604851,,,,,,,
9,train,mnist,tinycnn_mnist,iid,16,2,client0,0.026878951064082307,,,,4.891309599974193,,,,10004.0,684.421875,ok,,
9,train,mnist,tinycnn_mnist,iid,16,2,client1,0.03726972584993682,,,,4.877967000007629,,,,9996.0,652.28515625,ok,,
9,eval,mnist,tinycnn_mnist,iid,16,2,server,,0.09993581778545331,0.976,0.9755296005634742,,0.3097832999192178,,,,,,,
10,train,mnist,tinycnn_mnist,iid,16,2,client0,0.04077251601458353,,,,4.922992300009355,,,,10004.0,656.84375,ok,,
10,train,mnist,tinycnn_mnist,iid,16,2,client1,0.02867450798145935,,,,4.867106799967587,,,,9996.0,653.484375,ok,,
