round,phase,dataset,model,split,B,E,client_id,train_loss,global_loss,accuracy,macro_f1,train_time,eval_time,bytes_sent,bytes_recv,samples,peak_memory_mb,status,pi_temp,pi_throttled
1,train,mnist,tinycnn_mnist,iid,8,2,client0,2.3099949720238553,,,,6.597323999973014,,,,10004.0,647.78515625,ok,,
1,train,mnist,tinycnn_mnist,iid,8,2,client1,1.899596706825812,,,,6.663381200050935,,,,9996.0,647.88671875,ok,,
1,eval,mnist,tinycnn_mnist,iid,8,2,server,,2.3014366874694825,0.126,0.022380106571936058,,0.3027188000269234,,,,,,,
2,train,mnist,tinycnn_mnist,iid,8,2,client0,2.315922365241983,,,,6.324363799998537,,,,10004.0,653.5,ok,,
2,train,mnist,tinycnn_mnist,iid,8,2,client1,2.3139237103437416,,,,6.403810799936764,,,,9996.0,651.328125,ok,,
2,eval,mnist,tinycnn_mnist,iid,8,2,server,,2.3020217685699462,0.116,0.02078853046594982,,0.30076780007220805,,,,,,,
3,train,mnist,tinycnn_mnist,iid,8,2,client0,2.314696533162324,,,,6.2327658999711275,,,,10004.0,656.4453125,ok,,
3,train,mnist,tinycnn_mnist,iid,8,2,client1,2.3135429609294125,,,,6.2280768000055104,,,,9996.0,652.453125,ok,,
3,eval,mnist,tinycnn_mnist,iid,8,2,server,,2.3114964046478272,0.094,0.017184643510054845,,0.30476199998520315,,,,,,,
4,train,mnist,tinycnn_mnist,iid,8,2,client0,2.3149632722651754,,,,6.466973099973984,,,,10004.0,657.48046875,ok,,
4,train,mnist,tinycnn_mnist,iid,8,2,client1,2.3149492425315614,,,,6.285214300034568,,,,9996.0,654.015625,ok,,
4,eval,mnist,tinycnn_mnist,iid,8,2,server,,2.3107066974639894,0.11,0.01981981981981982,,0.3196248000022024,,,,,,,
5,train,mnist,tinycnn_mnist,iid,8,2,client0,2.314637601304083,,,,6.305151600041427,,,,10004.0,659.375,ok,,
5,train,mnist,tinycnn_mnist,iid,8,2,client1,2.315057341887408,,,,6.23722320003435,,,,9996.0,655.8125,ok,,
5,eval,mnist,tinycnn_mnist,iid,8,2,server,,2.3038752880096434,0.116,0.02078853046594982,,0.30087170004844666,,,,,,,
6,train,mnist,tinycnn_mnist,iid,8,2,client0,2.31621872244335,,,,6.292543000075966,,,,10004.0,661.6484375,ok,,
6,train,mnist,tinycnn_mnist,iid,8,2,client1,2.3158785882784203,,,,6.361457300023176,,,,9996.0,657.67578125,ok,,
6,eval,mnist,tinycnn_mnist,iid,8,2,server,,2.308071189880371,0.085,0.015668202764976956,,0.31443120003677905,,,,,,,
7,train,mnist,tinycnn_mnist,iid,8,2,client0,2.3149513944727285,,,,6.264196200063452,,,,10004.0,662.80078125,ok,,
7,train,mnist,tinycnn_mnist,iid,8,2,client1,2.3143775893860505,,,,6.271696800016798,,,,9996.0,659.47265625,ok,,
7,eval,mnist,tinycnn_mnist,iid,8,2,server,,2.300859453201294,0.11,0.01981981981981982,,0.3682429000036791,,,,,,,
8,train,mnist,tinycnn_mnist,iid,8,2,client0,2.3145361127780943,,,,6.550335900043137,,,,10004.0,664.65234375,ok,,
8,train,mnist,tinycnn_mnist,iid,8,2,client1,2.3164509474253263,,,,6.319620799971744,,,,9996.0,646.6875,ok,,
8,eval,mnist,tinycnn_mnist,iid,8,2,server,,2.305091958999634,0.094,0.017184643510054845,,0.3422266999259591,,,,,,,
9,train,mnist,tinycnn_mnist,iid,8,2,client0,2.3152158722215916,,,,6.365743799949996,,,,10004.0,653.1796875,ok,,
9,train,mnist,tinycnn_mnist,iid,8,2,client1,2.314708918082614,,,,6.248945700004697,,,,9996.0,648.44140625,ok,,
9,eval,mnist,tinycnn_mnist,iid,8,2,server,,2.3082455253601073,0.126,0.022380106571936058,,0.3194692999823019,,,,,,,
10,train,mnist,tinycnn_mnist,iid,8,2,client0,2.3159406840062435,,,,6.297275800025091,,,,10004.0,653.87890625,ok,,
10,train,mnist,tinycnn_mnist,iid,8,2,client1,2.3146355932070857,,,,6.309012299985625,,,,9996.0,650.4375,ok,,
10,eval,mnist,tinycnn_mnist,iid,8,2,server,,2.3119073600769044,0.099,0.018016378525932665,,0.3101845000637695,,,,,,,
11,train,mnist,tinycnn_mnist,iid,8,2,client0,2.3167027977169727,,,,6.250125900027342,,,,10004.0,623.10546875,ok,,
11,train,mnist,tinycnn_mnist,iid,8,2,client1,2.316258518588023,,,,6.184776599984616,,,,9996.0,621.65625,ok,,
11,eval,mnist,tinycnn_mnist,iid,8,2,server,,2.308000364303589,0.085,0.015668202764976956,,0.36537660006433725,,,,,,,
12,train,mnist,tinycnn_mnist,iid,8,2,client0,2.315287015572494,,,,6.489590900018811,,,,10004.0,626.79296875,ok,,
12,train,mnist,tinycnn_mnist,iid,8,2,client1,2.317125196025676,,,,6.388272300013341,,,,9996.0,623.01171875,ok,,
12,eval,mnist,tinycnn_mnist,iid,8,2,server,,2.3166983413696287,0.126,0.022380106571936058,,0.33857879997231066,,,,,,,
13,train,mnist,tinycnn_mnist,iid,8,2,client0,2.3153934020225835,,,,6.217677999986336,,,,10004.0,627.6328125,ok,,
13,train,mnist,tinycnn_mnist,iid,8,2,client1,2.3152215940659406,,,,6.276619500014931,,,,9996.0,624.421875,ok,,
13,eval,mnist,tinycnn_mnist,iid,8,2,server,,2.301121301651001,0.126,0.022380106571936058,,0.3633459999691695,,,,,,,
14,train,mnist,tinycnn_mnist,iid,8,2,client0,2.3152757439314007,,,,6.346546899992973,,,,10004.0,629.31640625,ok,,
14,train,mnist,tinycnn_mnist,iid,8,2,client1,2.3147625822026807,,,,6.229948500054888,,,,9996.0,625.85546875,ok,,
