round,phase,dataset,model,split,B,E,client_id,train_loss,global_loss,accuracy,macro_f1,train_time,eval_time,bytes_sent,bytes_recv,samples,peak_memory_mb,status,pi_temp,pi_throttled
1,train,mnist,tinycnn_mnist,iid,32,2,client0,0.3569610954844346,,,,3.7134233999531716,,,,10004.0,666.51171875,ok,,
1,train,mnist,tinycnn_mnist,iid,32,2,client1,0.3721346636526376,,,,3.7180571999633685,,,,9996.0,665.48046875,ok,,
1,eval,mnist,tinycnn_mnist,iid,32,2,server,,0.4777977612018585,0.883,0.8808012671122126,,0.24887749995104969,,,,,,,
2,train,mnist,tinycnn_mnist,iid,32,2,client0,0.11209147782159,,,,3.6524413999868557,,,,10004.0,672.390625,ok,,
2,train,mnist,tinycnn_mnist,iid,32,2,client1,0.11856849278503542,,,,3.7104638000018895,,,,9996.0,667.18359375,ok,,
2,eval,mnist,tinycnn_mnist,iid,32,2,server,,0.08489600833505392,0.968,0.9670881419843719,,0.2592204000102356,,,,,,,
3,train,mnist,tinycnn_mnist,iid,32,2,client0,0.05478949178658539,,,,3.9525634000310674,,,,10004.0,672.54296875,ok,,
3,train,mnist,tinycnn_mnist,iid,32,2,client1,0.056727849627933986,,,,3.8262394999619573,,,,9996.0,668.19140625,ok,,
3,eval,mnist,tinycnn_mnist,iid,32,2,server,,0.08090002713724971,0.972,0.9710289326285169,,0.2404613000107929,,,,,,,
4,train,mnist,tinycnn_mnist,iid,32,2,client0,0.03317369821963918,,,,3.8270053000887856,,,,10004.0,675.2890625,ok,,
4,train,mnist,tinycnn_mnist,iid,32,2,client1,0.041698100737852455,,,,3.8281367000890896,,,,9996.0,669.6171875,ok,,
4,eval,mnist,tinycnn_mnist,iid,32,2,server,,0.06909121242538095,0.977,0.9764647973491293,,0.26147460006177425,,,,,,,
5,train,mnist,tinycnn_mnist,iid,32,2,client0,0.025941974203330744,,,,3.873367500025779,,,,10004.0,675.3046875,ok,,
5,train,mnist,tinycnn_mnist,iid,32,2,client1,0.026071492672031446,,,,3.737172199995257,,,,9996.0,671.03125,ok,,
5,eval,mnist,tinycnn_mnist,iid,32,2,server,,0.08236600818729493,0.973,0.9724512432439862,,0.27117109997197986,,,,,,,
6,train,mnist,tinycnn_mnist,iid,32,2,client0,0.010490153862646134,,,,3.7888011999893934,,,,10004.0,676.75,ok,,
6,train,mnist,tinycnn_mnist,iid,32,2,client1,0.02094020751540783,,,,3.7532824999652803,,,,9996.0,672.34765625,ok,,
6,eval,mnist,tinycnn_mnist,iid,32,2,server,,0.07667887374688871,0.978,0.9775194221186652,,0.30057530000340194,,,,,,,
7,train,mnist,tinycnn_mnist,iid,32,2,client0,0.015928344503309703,,,,3.834466499974951,,,,10004.0,677.890625,ok,,
7,train,mnist,tinycnn_mnist,iid,32,2,client1,0.008949520092421838,,,,3.760053199948743,,,,9996.0,673.6953125,ok,,
7,eval,mnist,tinycnn_mnist,iid,32,2,server,,0.06474451884740119,0.978,0.9774632768488347,,0.2592844000319019,,,,,,,
8,train,mnist,tinycnn_mnist,iid,32,2,client0,0.0013589527422129646,,,,3.8839332000352442,,,,10004.0,679.3515625,ok,,
8,train,mnist,tinycnn_mnist,iid,32,2,client1,0.003331961616703618,,,,3.8312829000642523,,,,9996.0,675.1015625,ok,,
8,eval,mnist,tinycnn_mnist,iid,32,2,server,,0.06631293353308865,0.978,0.977621462562813,,0.2653961000032723,,,,,,,
9,train,mnist,tinycnn_mnist,iid,32,2,client0,0.0010007525290032697,,,,3.73214559990447,,,,10004.0,680.81640625,ok,,
9,train,mnist,tinycnn_mnist,iid,32,2,client1,0.0012896472766707203,,,,3.9382583000697196,,,,9996.0,676.65234375,ok,,
9,eval,mnist,tinycnn_mnist,iid,32,2,server,,0.06567713191315488,0.981,0.9804084795273553,,0.2611661999253556,,,,,,,
