round,phase,dataset,model,split,B,E,client_id,train_loss,global_loss,accuracy,macro_f1,train_time,eval_time,bytes_sent,bytes_recv,samples,peak_memory_mb,status,pi_temp,pi_throttled
1,train,mnist,tinycnn_mnist,iid,64,2,client0,0.36000291558830844,,,,3.3508678999496624,,,,10004.0,539.14453125,ok,,
1,train,mnist,tinycnn_mnist,iid,64,2,client1,0.3856204928887658,,,,3.107187299989164,,,,9996.0,539.1328125,ok,,
1,eval,mnist,tinycnn_mnist,iid,64,2,server,,0.3081974006295204,0.906,0.9008868124816345,,0.2760892999358475,,,,,,,
2,train,mnist,tinycnn_mnist,iid,64,2,client0,0.09620368524227568,,,,3.2194195000920445,,,,10004.0,543.3984375,ok,,
2,train,mnist,tinycnn_mnist,iid,64,2,client1,0.1036893964234349,,,,3.3562159999273717,,,,9996.0,540.72265625,ok,,
2,eval,mnist,tinycnn_mnist,iid,64,2,server,,0.06395740777999162,0.976,0.9756734683653183,,0.2462802000809461,,,,,,,
3,train,mnist,tinycnn_mnist,iid,64,2,client0,0.045944547257395454,,,,3.3504152999958023,,,,10004.0,546.28515625,ok,,
3,train,mnist,tinycnn_mnist,iid,64,2,client1,0.04976581312925313,,,,3.2481753999600187,,,,9996.0,542.33203125,ok,,
3,eval,mnist,tinycnn_mnist,iid,64,2,server,,0.06172548943012953,0.976,0.9755788846191706,,0.24716909998096526,,,,,,,
4,train,mnist,tinycnn_mnist,iid,64,2,client0,0.026306815326572787,,,,3.4257294998969883,,,,10004.0,546.8359375,ok,,
4,train,mnist,tinycnn_mnist,iid,64,2,client1,0.028777906379301235,,,,3.2656476999400184,,,,9996.0,543.328125,ok,,
4,eval,mnist,tinycnn_mnist,iid,64,2,server,,0.0396341420263052,0.984,0.9837098965021751,,0.24108870001509786,,,,,,,
5,train,mnist,tinycnn_mnist,iid,64,2,client0,0.01608663543736505,,,,3.4014197000069544,,,,10004.0,547.09765625,ok,,
5,train,mnist,tinycnn_mnist,iid,64,2,client1,0.015071652807356256,,,,3.2344805999891832,,,,9996.0,515.20703125,ok,,
5,eval,mnist,tinycnn_mnist,iid,64,2,server,,0.03849181658029556,0.985,0.9841371745018683,,0.2519199999514967,,,,,,,
6,train,mnist,tinycnn_mnist,iid,64,2,client0,0.011548154918661593,,,,3.4070539999520406,,,,10004.0,521.33984375,ok,,
6,train,mnist,tinycnn_mnist,iid,64,2,client1,0.020734769943058073,,,,3.3235863000154495,,,,9996.0,516.6328125,ok,,
6,eval,mnist,tinycnn_mnist,iid,64,2,server,,0.04901311431452632,0.98,0.9798830787857901,,0.2761271999916062,,,,,,,
7,train,mnist,tinycnn_mnist,iid,64,2,client0,0.0031094248392973885,,,,3.269974200055003,,,,10004.0,522.5,ok,,
7,train,mnist,tinycnn_mnist,iid,64,2,client1,0.008860982385804059,,,,3.2539108999771997,,,,9996.0,517.8203125,ok,,
7,eval,mnist,tinycnn_mnist,iid,64,2,server,,0.05710047119855881,0.976,0.9747982531343293,,0.28221809992101043,,,,,,,
8,train,mnist,tinycnn_mnist,iid,64,2,client0,0.0016855446178406233,,,,3.4459929999429733,,,,10004.0,523.40625,ok,,
8,train,mnist,tinycnn_mnist,iid,64,2,client1,0.002800897093527069,,,,3.2637630000244826,,,,9996.0,519.50390625,ok,,
8,eval,mnist,tinycnn_mnist,iid,64,2,server,,0.036284437514841554,0.986,0.9856672355405995,,0.2389166000066325,,,,,,,
9,train,mnist,tinycnn_mnist,iid,64,2,client0,0.0007214168904481915,,,,3.3605290999403223,,,,10004.0,525.25390625,ok,,
9,train,mnist,tinycnn_mnist,iid,64,2,client1,0.0007946532828713561,,,,3.25121990009211,,,,9996.0,520.72265625,ok,,
9,eval,mnist,tinycnn_mnist,iid,64,2,server,,0.04291113662347198,0.985,0.9845114752497359,,0.26607439992949367,,,,,,,
10,train,mnist,tinycnn_mnist,iid,64,2,client0,0.0006866912058476296,,,,3.4155167000135407,,,,10004.0,524.71875,ok,,
10,train,mnist,tinycnn_mnist,iid,64,2,client1,0.00040701840522131574,,,,3.208084399928339,,,,9996.0,522.7265625,ok,,
10,eval,mnist,tinycnn_mnist,iid,64,2,server,,0.043113365970551966,0.985,0.9845114752497359,,0.23307289998047054,,,,,,,
11,train,mnist,tinycnn_mnist,iid,64,2,client0,0.0003969352976701837,,,,3.385849199956283,,,,10004.0,528.28515625,ok,,
11,train,mnist,tinycnn_mnist,iid,64,2,client1,0.00033142197184861215,,,,3.552275199908763,,,,9996.0,523.734375,ok,,
11,eval,mnist,tinycnn_mnist,iid,64,2,server,,0.042582314662635325,0.985,0.9845114752497359,,0.2705383999273181,,,,,,,
12,train,mnist,tinycnn_mnist,iid,64,2,client0,0.0003013247258543058,,,,3.534215399995446,,,,10004.0,529.6875,ok,,
12,train,mnist,tinycnn_mnist,iid,64,2,client1,0.0002928453294870809,,,,3.777788400067948,,,,9996.0,525.40625,ok,,
12,eval,mnist,tinycnn_mnist,iid,64,2,server,,0.04321758291125297,0.985,0.9845114752497359,,0.36038229998666793,,,,,,,
13,train,mnist,tinycnn_mnist,iid,64,2,client0,0.0002846700538258079,,,,3.6357815999072045,,,,10004.0,530.5703125,ok,,
13,train,mnist,tinycnn_mnist,iid,64,2,client1,0.00023354269780836753,,,,3.2975599999772385,,,,9996.0,526.390625,ok,,
13,eval,mnist,tinycnn_mnist,iid,64,2,server,,0.04325950138643384,0.985,0.9845114752497359,,0.23522180004511029,,,,,,,
14,train,mnist,tinycnn_mnist,iid,64,2,client0,0.00024022387227220582,,,,3.109641999937594,,,,10004.0,532.703125,ok,,
14,train,mnist,tinycnn_mnist,iid,64,2,client1,0.0002019537474670712,,,,3.0551676999311894,,,,9996.0,527.1171875,ok,,
14,eval,mnist,tinycnn_mnist,iid,64,2,server,,0.044915491338819266,0.985,0.9845114752497359,,0.22288229991681874,,,,,,,
15,train,mnist,tinycnn_mnist,iid,64,2,client0,0.00020847312092156444,,,,3.039714499958791,,,,10004.0,532.47265625,ok,,
15,train,mnist,tinycnn_mnist,iid,64,2,client1,0.00016868223807003953,,,,3.022321700002067,,,,9996.0,528.234375,ok,,
15,eval,mnist,tinycnn_mnist,iid,64,2,server,,0.04348983635008335,0.985,0.9845114752497359,,0.2288922000443563,,,,,,,
