round,phase,dataset,model,split,B,E,client_id,train_loss,global_loss,accuracy,macro_f1,train_time,eval_time,bytes_sent,bytes_recv,samples,peak_memory_mb,num_params,comm_bytes_per_round,status,pi_temp,pi_throttled
1,train,mnist,tinycnn_mnist,dirichlet,64,1,client0,1.1945908530041591,,,,1.4543141999997715,,,,3604.0,,,,ok,,
1,train,mnist,tinycnn_mnist,dirichlet,64,1,client1,0.8536995358769784,,,,1.4895870000000286,,,,6396.0,,,,ok,,
1,eval,mnist,tinycnn_mnist,dirichlet,64,1,server,,0.5878240163326264,0.8545,0.847139866509585,,0.47658999999976004,,,,,,,,,
2,train,mnist,tinycnn_mnist,dirichlet,64,1,client0,0.38438232969099884,,,,0.8549390000002859,,,,3604.0,,,,ok,,
2,train,mnist,tinycnn_mnist,dirichlet,64,1,client1,0.28687970138028535,,,,1.5198864999997568,,,,6396.0,,,,ok,,
2,eval,mnist,tinycnn_mnist,dirichlet,64,1,server,,0.25303654742240905,0.9385,0.9378803945622896,,0.3923563000003014,,,,,,,,,
3,train,mnist,tinycnn_mnist,dirichlet,64,1,client0,0.2361489450610703,,,,0.8556993000001967,,,,3604.0,,,,ok,,
3,train,mnist,tinycnn_mnist,dirichlet,64,1,client1,0.17532268175861104,,,,1.5169120999998995,,,,6396.0,,,,ok,,
3,eval,mnist,tinycnn_mnist,dirichlet,64,1,server,,0.18305004906654357,0.9495,0.9486174427206666,,0.4227569999998195,,,,,,,,,
4,train,mnist,tinycnn_mnist,dirichlet,64,1,client0,0.1799251718671949,,,,0.9372897999996894,,,,3604.0,,,,ok,,
4,train,mnist,tinycnn_mnist,dirichlet,64,1,client1,0.1305535179682267,,,,1.588068900000053,,,,6396.0,,,,ok,,
4,eval,mnist,tinycnn_mnist,dirichlet,64,1,server,,0.1499862779378891,0.959,0.9582355139685086,,0.4155083000000559,,,,,,,,,
5,train,mnist,tinycnn_mnist,dirichlet,64,1,client0,0.14718199834707177,,,,1.0064860000002227,,,,3604.0,,,,ok,,
5,train,mnist,tinycnn_mnist,dirichlet,64,1,client1,0.1076698148200257,,,,1.5480437000001075,,,,6396.0,,,,ok,,
5,eval,mnist,tinycnn_mnist,dirichlet,64,1,server,,0.11846122792363167,0.9675,0.9671353455512449,,0.4312887999999475,,,,,,,,,
6,train,mnist,tinycnn_mnist,dirichlet,64,1,client0,0.12888693619316877,,,,0.8817615000002661,,,,3604.0,,,,ok,,
6,train,mnist,tinycnn_mnist,dirichlet,64,1,client1,0.08928751448790233,,,,1.5343242000003556,,,,6396.0,,,,ok,,
6,eval,mnist,tinycnn_mnist,dirichlet,64,1,server,,0.10896645191311836,0.967,0.9666501032775786,,0.45380440000008093,,,,,,,,,
7,train,mnist,tinycnn_mnist,dirichlet,64,1,client0,0.11484594771289137,,,,0.8978843000004417,,,,3604.0,,,,ok,,
7,train,mnist,tinycnn_mnist,dirichlet,64,1,client1,0.07918399799058332,,,,1.5985571999999593,,,,6396.0,,,,ok,,
7,eval,mnist,tinycnn_mnist,dirichlet,64,1,server,,0.10847744332253934,0.968,0.967795467340196,,0.43633420000014667,,,,,,,,,
8,train,mnist,tinycnn_mnist,dirichlet,64,1,client0,0.10304457697599763,,,,0.8922246000001905,,,,3604.0,,,,ok,,
8,train,mnist,tinycnn_mnist,dirichlet,64,1,client1,0.0698012153433404,,,,1.8702408999997715,,,,6396.0,,,,ok,,
8,eval,mnist,tinycnn_mnist,dirichlet,64,1,server,,0.09468915078043938,0.9735,0.9733028318477667,,0.47166880000031597,,,,,,,,,
9,train,mnist,tinycnn_mnist,dirichlet,64,1,client0,0.09574421960963857,,,,0.9958593000001201,,,,3604.0,,,,ok,,
9,train,mnist,tinycnn_mnist,dirichlet,64,1,client1,0.06156707471650119,,,,1.6424234999999499,,,,6396.0,,,,ok,,
9,eval,mnist,tinycnn_mnist,dirichlet,64,1,server,,0.09100923106074334,0.9725,0.972293878943869,,0.47550390000014886,,,,,,,,,
10,train,mnist,tinycnn_mnist,dirichlet,64,1,client0,0.0866784227765956,,,,0.8553938999998536,,,,3604.0,,,,ok,,
10,train,mnist,tinycnn_mnist,dirichlet,64,1,client1,0.05571713669923337,,,,1.610067699999945,,,,6396.0,,,,ok,,
10,eval,mnist,tinycnn_mnist,dirichlet,64,1,server,,0.0870217363089323,0.9715,0.97126487080896,,0.45033939999984796,,,,,,,,,
11,train,mnist,tinycnn_mnist,dirichlet,64,1,client0,0.08478011975641653,,,,0.8681444999997439,,,,3604.0,,,,ok,,
11,train,mnist,tinycnn_mnist,dirichlet,64,1,client1,0.051794071913026436,,,,1.6731727999999748,,,,6396.0,,,,ok,,
11,eval,mnist,tinycnn_mnist,dirichlet,64,1,server,,0.09294208245724439,0.968,0.9673873024116851,,0.41906650000009904,,,,,,,,,
12,train,mnist,tinycnn_mnist,dirichlet,64,1,client0,0.07872087380266878,,,,0.9159184999998615,,,,3604.0,,,,ok,,
12,train,mnist,tinycnn_mnist,dirichlet,64,1,client1,0.04760100557384378,,,,1.5139468000002125,,,,6396.0,,,,ok,,
12,eval,mnist,tinycnn_mnist,dirichlet,64,1,server,,0.08137898094207048,0.9735,0.9732029889497351,,0.42469030000029306,,,,,,,,,
13,train,mnist,tinycnn_mnist,dirichlet,64,1,client0,0.07468276178995592,,,,0.9358516999996027,,,,3604.0,,,,ok,,
13,train,mnist,tinycnn_mnist,dirichlet,64,1,client1,0.04389446331019175,,,,1.665818500000114,,,,6396.0,,,,ok,,
13,eval,mnist,tinycnn_mnist,dirichlet,64,1,server,,0.07774198684841395,0.976,0.9758406728929503,,0.4298751000001175,,,,,,,,,
14,train,mnist,tinycnn_mnist,dirichlet,64,1,client0,0.07063027430371227,,,,0.8548562999999376,,,,3604.0,,,,ok,,
14,train,mnist,tinycnn_mnist,dirichlet,64,1,client1,0.040292202116743316,,,,1.5502011999997194,,,,6396.0,,,,ok,,
14,eval,mnist,tinycnn_mnist,dirichlet,64,1,server,,0.08055719387531281,0.975,0.9748473201121788,,0.3939602999998897,,,,,,,,,
15,train,mnist,tinycnn_mnist,dirichlet,64,1,client0,0.06495686617166167,,,,0.9158761999997296,,,,3604.0,,,,ok,,
15,train,mnist,tinycnn_mnist,dirichlet,64,1,client1,0.03717208486382358,,,,1.6096181999996588,,,,6396.0,,,,ok,,
15,eval,mnist,tinycnn_mnist,dirichlet,64,1,server,,0.08036245195567608,0.9735,0.9731759794599277,,0.48849079999990863,,,,,,,,,
16,train,mnist,tinycnn_mnist,dirichlet,64,1,client0,0.06251352036849375,,,,1.2146873000001506,,,,3604.0,,,,ok,,
16,train,mnist,tinycnn_mnist,dirichlet,64,1,client1,0.03396704568853223,,,,1.8284832999997889,,,,6396.0,,,,ok,,
16,eval,mnist,tinycnn_mnist,dirichlet,64,1,server,,0.07986789019405842,0.9735,0.973211763282227,,0.5011137999999846,,,,,,,,,
17,train,mnist,tinycnn_mnist,dirichlet,64,1,client0,0.06021780830360412,,,,0.9542461000000912,,,,3604.0,,,,ok,,
17,train,mnist,tinycnn_mnist,dirichlet,64,1,client1,0.031086632039507452,,,,1.7253286999998636,,,,6396.0,,,,ok,,
17,eval,mnist,tinycnn_mnist,dirichlet,64,1,server,,0.07440111722052098,0.976,0.9757533940951892,,0.42169609999973545,,,,,,,,,
18,train,mnist,tinycnn_mnist,dirichlet,64,1,client0,0.05666994556503476,,,,1.0545231999999487,,,,3604.0,,,,ok,,
18,train,mnist,tinycnn_mnist,dirichlet,64,1,client1,0.0297988540643804,,,,1.738312699999824,,,,6396.0,,,,ok,,
18,eval,mnist,tinycnn_mnist,dirichlet,64,1,server,,0.07949652092158795,0.973,0.9727024057339755,,0.42489849999992657,,,,,,,,,
19,train,mnist,tinycnn_mnist,dirichlet,64,1,client0,0.05455744663640013,,,,0.8686907000001156,,,,3604.0,,,,ok,,
19,train,mnist,tinycnn_mnist,dirichlet,64,1,client1,0.027759813990739825,,,,1.6753625999999713,,,,6396.0,,,,ok,,
19,eval,mnist,tinycnn_mnist,dirichlet,64,1,server,,0.07196328596770764,0.9755,0.9752622270316376,,0.4355421000000206,,,,,,,,,
20,train,mnist,tinycnn_mnist,dirichlet,64,1,client0,0.05096875355226483,,,,0.9076709000000847,,,,3604.0,,,,ok,,
20,train,mnist,tinycnn_mnist,dirichlet,64,1,client1,0.02515064847607252,,,,1.5895362999999634,,,,6396.0,,,,ok,,
20,eval,mnist,tinycnn_mnist,dirichlet,64,1,server,,0.07491306419670582,0.9755,0.9753921765545096,,0.45448369999985516,,,,,,,,,
